Block Group,2022 Generation Alpha Pop
131390014.043,127
131390014.044,182
131390014.051,174
131390014.052,90
131390014.061,333
131390014.062,136
131390015.011,184
131390015.012,76
131390015.013,104
131390015.021,109
131390015.022,108
131390016.031,165
131390016.032,133
131390016.033,117
131390016.051,141
131390016.052,146
131390016.053,127
131390016.061,128
131390016.062,338
131390016.071,210
131390016.072,207
131390016.073,95
131390016.091,102
131390016.092,233
131390016.093,150
131390016.101,179
131390016.102,98
131390016.111,137
131390016.112,249
131390016.121,134
131390016.122,59
131570101.041,259
131570101.042,145
131570101.051,119
131570101.052,169
131570101.061,171
131570101.062,123
131570101.071,154
131570101.072,112
131570101.073,228
131570101.081,159
131570101.082,160
131570101.091,196
131570101.092,250
131570102.001,43
131570102.002,99
131570102.003,119
131570102.004,76
131570103.001,86
131570103.002,57
131570103.003,96
131570103.004,204
131570104.001,91
131570104.002,112
131570104.003,149
131570104.004,74
131570105.001,57
131570105.002,65
131570105.003,120
131570105.004,68
131570105.005,96
131570106.011,131
131570106.012,151
131570106.013,111
131570106.023,149
131570107.011,99
131570107.012,47
131570107.031,194
131570107.032,142
131570107.041,150
131570107.042,175
131570107.051,118
131570107.052,235
131570107.053,136
131570107.061,104
131570107.062,66
131570107.063,140
131879601.031,80
131879601.032,126
131879601.041,84
131879601.042,62
131879601.043,152
131879601.051,79
131879601.052,72
131879601.062,163
131879602.031,138
131879602.032,61
131879602.033,73
131879602.041,62
131879602.042,36
131879602.051,237
131879602.052,88
131879602.053,114
131879602.061,45
131879602.062,141
131879602.063,57
131879602.064,44
131950201.001,58
131950201.002,114
131950201.003,93
131950201.004,104
131950205.011,120
132270501.011,55
132270501.021,13
132270501.022,13
132270501.023,21
132270501.024,44
132270502.012,81
132270502.013,136
132270502.021,91
132270502.022,69
132270502.023,80
132270503.001,29
132270505.001,172
132270506.011,60
132270506.012,99
132270506.013,129
132270506.021,33
132270506.022,95
132579701.011,63
132579703.011,70
132579703.012,67
132579703.014,96
132579703.022,95
132579704.011,120
132579704.012,101
133119502.063,172
133119502.071,147
133119502.072,85
133119502.073,123
133119503.011,104
133119503.012,185
133119503.021,54
133119503.022,83
