Block Group,2022 Millennial Pop
131879602.031,519
131879602.032,272
131879602.033,322
131879602.041,435
131879602.042,323
131879602.051,694
131879602.052,254
131879602.053,332
131879602.061,165
131879602.062,504
131879602.063,290
131879602.064,269
131950201.001,264
131950201.002,398
131950201.003,257
131950201.004,289
132270501.011,158
132270501.021,52
132270501.022,44
132270501.023,80
132270501.024,128
132270502.012,308
132270502.013,410
132270502.021,272
132270502.022,192
132270502.023,259
132270503.001,121
132270505.001,537
132270506.011,198
132270506.012,372
132270506.013,395
132270506.021,117
132270506.022,359
132579701.011,189
132579703.011,199
132579703.012,255
132579703.014,252
132579703.022,332
132579704.011,388
132579704.012,354
133119502.063,472
133119502.071,426
133119502.072,266
133119502.073,358
133119503.011,305
133119503.012,542
133119503.021,201
133119503.022,252
