Block Group,2022 Population Age 15-19
130119701.001,64
130119701.002,54
130119701.003,95
130119701.004,55
130119702.001,60
130119702.002,63
130119702.003,85
130119702.004,85
130119703.001,115
130119703.002,107
130119703.003,64
130119704.001,114
130119704.002,86
130570901.011,48
130570901.013,86
130570905.031,74
130570905.032,118
130570905.033,104
130570905.041,214
130570905.042,227
130570905.061,133
130570905.071,84
130570905.072,64
130859701.011,13
130859701.012,19
130859701.021,139
130859701.022,174
130859701.031,47
130859701.032,103
130859702.031,113
130859702.032,146
130859702.041,126
130859702.042,87
130859702.051,57
130859702.052,234
130859702.061,111
130859702.062,67
130859702.063,103
131171301.011,185
131171301.012,129
131171301.021,132
131171301.022,107
131171301.031,113
131171301.032,97
131171301.033,104
131171301.041,139
131171301.042,89
131171301.043,81
131171301.051,180
131171302.011,108
131171302.012,137
131171302.013,148
131171302.021,125
131171302.022,209
131171302.023,128
131171302.031,264
131171302.032,121
131171302.033,90
131171302.041,240
131171302.042,146
131171302.043,71
131171302.051,175
131171302.052,156
131171302.053,74
131171303.011,187
131171303.012,126
131171303.013,196
131171303.021,235
131171303.022,307
131171303.023,298
131171303.031,195
131171303.032,107
131171303.041,192
131171303.042,434
131171303.051,127
131171303.052,177
131171303.053,189
131171303.061,173
131171303.062,187
131171303.071,305
131171303.072,194
131171304.061,155
131171304.062,146
131171304.063,215
131171304.091,49
131171304.092,129
131171304.101,208
131171304.102,122
131171304.103,153
131171304.111,113
131171304.112,97
131171304.121,97
131171304.122,159
131171304.131,69
131171304.132,130
131171304.141,209
131171304.142,78
131171304.151,164
131171304.152,140
131171305.031,91
131171305.032,78
131171305.041,115
131171305.042,100
131171305.051,64
131171305.052,85
131171305.061,81
131171305.062,183
131171305.071,101
131171305.072,93
131171305.081,293
131171305.082,183
131171305.091,142
131171305.092,80
131171305.111,145
131171305.121,408
131171306.011,205
131171306.012,85
131171306.013,112
131210115.071,194
131210115.072,199
131210115.073,116
131210115.082,279
131210115.141,151
131210115.142,192
131350501.102,150
131350501.202,82
131370004.002,61
131370004.003,77
131370006.011,119
131370006.012,56
131370006.013,71
131370006.014,102
131370006.031,75
131370006.032,87
131370006.041,79
131370006.042,138
131370006.043,120
131370006.044,68
131390001.011,172
131390001.012,170
131390001.021,129
131390001.022,93
131390002.031,134
131390002.032,121
131390002.041,159
131390002.042,128
131390002.051,178
131390002.061,129
131390002.062,110
131390003.031,95
131390003.032,59
131390003.041,145
131390003.042,139
131390003.051,80
131390003.052,161
131390003.053,31
131390003.061,51
131390003.062,88
131390003.071,122
131390003.072,134
131390004.011,89
131390004.012,112
131390004.021,77
131390004.022,99
131390005.011,45
131390005.012,120
131390005.013,45
131390005.021,40
131390005.022,135
131390006.011,33
131390006.012,65
131390006.013,67
131390006.021,58
131390006.022,215
131390007.021,258
131390007.022,188
131390007.031,123
131390007.032,151
131390007.041,186
131390007.042,101
131390008.001,55
131390008.002,69
131390008.003,272
131390009.011,105
131390009.012,102
131390009.021,101
131390009.022,100
131390010.041,74
131390010.042,106
131390010.051,166
131390010.052,127
131390010.061,112
131390010.062,78
131390010.071,149
131390010.081,114
131390010.082,52
131390010.083,85
131390011.011,113
131390011.012,167
131390011.013,139
131390011.021,124
131390011.022,252
131390012.021,150
131390012.022,198
131390012.023,83
131390012.024,102
131390012.031,177
131390012.041,99
131390012.042,211
131390012.043,124
131390013.021,217
131390013.022,152
131390013.031,83
131390013.032,115
131390013.041,60
131390013.042,181
131390014.021,55
131390014.022,149
131390014.023,122
131390014.041,84
131390014.042,43
131390014.043,120
131390014.044,171
131390014.051,112
131390014.052,58
131390014.061,251
131390014.062,83
131390015.011,136
131390015.012,74
131390015.013,97
131390015.021,93
131390015.022,131
131390016.031,121
131390016.032,114
131390016.033,101
131390016.061,116
131390016.062,182
131390016.072,197
131390016.073,98
131390016.091,87
131390016.101,168
131390016.102,53
131570101.041,214
131570101.042,118
131570101.082,128
131570102.001,34
131570102.002,82
131570102.003,106
131570102.004,68
131570103.001,107
131570103.002,40
131570103.003,66
131570103.004,144
131570104.001,73
131570104.002,92
131570104.003,110
131570104.004,64
131570107.011,77
131570107.012,57
131570107.041,129
131570107.042,144
131879601.032,110
131879601.041,63
131879601.042,47
131879601.043,115
131879601.051,57
131879602.051,145
131879602.052,52
131879602.053,68
131879602.061,32
131879602.062,105
131879602.063,49
131879602.064,919
132270501.011,52
132270501.021,17
132270501.024,41
132270506.021,31
132270506.022,92
132579704.012,85
133119502.073,93
133119503.011,82
133119503.012,146
