Block Group,2022 Total Population
131390010.081,"1,838"
131390010.082,"1,034"
131390010.083,"1,372"
131390011.011,"1,433"
131390011.012,"1,788"
131390011.013,"1,807"
131390011.021,"1,561"
131390011.022,"3,187"
131390012.021,"1,798"
131390012.022,"2,340"
131390012.023,993
131390012.024,"1,221"
131390012.031,"2,144"
131390012.041,"1,418"
131390012.042,"2,295"
131390012.043,"1,759"
131390013.021,"3,145"
131390013.022,"2,484"
131390013.031,"1,305"
131390013.032,"1,653"
131390013.041,867
131390013.042,"3,119"
131390014.021,"1,066"
131390014.022,"2,584"
131390014.023,"1,939"
131390014.041,"1,644"
131390014.042,754
131390014.043,"1,520"
131390014.044,"2,185"
131390014.051,"1,783"
131390014.052,978
131390014.061,"3,572"
131390014.062,"1,288"
131390015.011,"2,507"
131390015.012,"1,436"
131390015.013,"2,013"
131390015.021,"2,082"
131390015.022,"2,373"
131390016.031,"2,211"
131390016.032,"1,710"
131390016.033,"1,512"
131390016.061,"1,770"
131390016.062,"3,594"
131390016.101,"2,526"
131390016.102,929
131570101.041,"3,453"
131570101.042,"1,830"
131570101.082,"2,004"
131570102.001,647
131570102.002,"1,583"
131570102.003,"1,734"
131570102.004,"1,109"
131570103.001,"1,571"
131570107.012,930
131570107.041,"1,815"
131570107.042,"2,093"
131879601.031,"1,217"
131879601.032,"1,937"
131879601.041,"1,227"
131879601.042,911
131879601.043,"2,243"
131879601.051,"1,334"
131879602.042,877
131879602.051,"2,804"
131879602.052,"1,017"
131879602.053,"1,326"
131879602.061,618
131879602.062,"1,977"
131879602.063,"1,053"
131879602.064,"2,524"
132270501.011,"2,469"
132270501.021,568
132270501.022,501
132270501.023,873
132270501.024,"1,451"
132270502.021,"1,363"
132270502.022,989
132270505.001,"1,943"
132270506.011,907
132270506.012,"1,672"
132270506.013,"1,729"
132270506.021,544
132270506.022,"1,640"
133119502.073,"1,565"
133119503.011,"1,381"
133119503.012,"2,510"
133119503.021,877
130131801.031,"2,122"
130131801.032,"1,903"
130131801.033,"1,740"
130131801.041,"2,896"
130131801.051,"1,445"
130131801.052,"1,395"
130131801.061,"1,713"
130131801.062,"1,216"
130131801.071,"1,777"
130131801.072,"2,507"
130131802.053,"2,047"
130131802.061,"1,596"
130131802.062,"1,684"
130131803.011,"2,675"
130131803.021,"2,654"
130131803.022,"1,086"
130131803.023,"1,656"
130131803.024,"1,246"
130131803.031,"3,366"
130131803.032,"2,429"
130131804.012,"2,562"
130131804.013,"2,166"
130131804.024,"1,387"
130570908.051,"2,174"
130570908.052,"1,391"
130570908.083,"3,552"
130570908.092,"2,283"
130570909.111,"2,154"
130670303.354,"1,569"
130670303.431,"1,818"
130670303.432,"2,049"
130670303.433,"1,037"
130670303.601,"1,348"
130670303.602,"1,072"
131171305.081,"2,734"
131171305.111,"2,782"
131171305.112,"2,543"
131171306.011,"3,948"
131171306.012,"1,237"
131171306.013,"1,974"
131171306.021,"3,306"
131171306.022,"3,152"
131171306.031,"1,949"
131171306.032,"2,213"
131171306.033,"6,101"
131171306.041,"1,365"
131171306.042,"1,503"
131171306.043,"2,324"
131171306.051,"2,466"
131171306.052,"2,411"
131171306.061,"3,893"
131171306.062,"1,652"
131171306.071,"3,856"
131171306.072,"1,589"
131171306.073,"4,152"
131171306.081,"2,566"
131171306.082,"4,152"
131171306.091,"2,180"
131171306.092,"2,693"
131171306.093,"2,380"
131171306.101,"2,723"
131171306.102,"4,245"
131171306.111,"1,544"
131171306.112,"3,505"
131171306.131,"2,560"
131171306.132,"4,218"
131171306.141,"1,059"
131171306.142,"2,931"
131171306.151,944
131171306.152,"2,599"
131210114.161,"2,077"
131210114.162,"2,075"
131210114.163,"1,295"
131210114.164,992
131210114.171,"1,262"
131210114.172,"1,372"
131210114.173,"1,730"
131210114.174,698
131210114.191,"1,686"
131210114.192,"2,051"
131210114.193,839
131210114.194,"1,218"
131210114.211,"1,372"
131210114.212,728
131210114.213,"1,418"
131210114.214,677
131210114.221,"1,169"
131210114.223,"1,286"
131210114.231,"1,096"
131210114.232,"1,854"
131210114.233,"1,474"
131210114.234,"1,093"
131210114.243,545
131210114.244,"1,943"
131210114.261,"1,242"
131210114.262,"1,180"
131210114.281,"1,106"
131210114.282,"1,673"
131210114.291,836
131210114.292,"2,172"
131210114.293,765
131210114.294,"1,825"
131210114.301,"1,662"
131210114.302,"1,342"
131210114.303,"1,406"
131210114.311,830
131210114.312,"1,021"
131210114.321,"2,774"
131210114.331,868
131210114.332,"1,197"
131210114.341,"1,534"
131210114.342,"1,726"
131210114.351,783
131210114.352,"1,963"
131210114.353,"1,511"
131210114.361,834
131210114.371,"1,327"
131210114.372,886
131210114.373,846
131210114.381,995
131210114.382,"1,103"
131210114.383,"1,031"
131210114.384,"1,359"
131210114.411,"1,114"
131210114.412,"1,619"
131210114.413,"1,285"
131210114.421,"1,079"
131210114.422,"1,244"
131210114.431,"1,476"
131210114.432,"1,824"
131210114.441,"1,828"
131210114.442,"1,918"
131210114.451,"1,373"
131210114.452,"1,829"
131210114.461,"1,147"
131210114.462,794
131210114.463,"1,498"
131210115.051,"1,601"
131210115.052,703
131210115.053,"1,919"
131210115.073,"1,082"
131210115.081,"1,365"
131210115.091,"1,072"
131210115.092,"1,567"
131210115.101,"2,137"
131210115.102,"2,970"
131210115.103,"1,013"
131210115.111,"1,456"
131210115.112,"1,426"
131210115.121,"1,659"
131210115.122,"1,288"
131210115.131,"1,826"
131210115.132,"1,614"
131210115.141,"1,621"
131210115.151,"1,234"
131210115.152,"1,290"
131210116.121,889
131210116.122,"1,180"
131210116.123,"1,472"
131210116.181,"2,332"
131210116.182,819
131210116.183,"1,247"
131210116.241,"2,138"
131210116.242,"1,841"
131210116.271,"2,088"
131210116.272,468
131210116.273,"1,788"
131210116.281,"1,588"
131210116.282,"1,268"
131210116.291,"1,374"
131210116.292,"1,845"
131210116.293,"1,584"
131210116.301,"1,922"
131210116.302,"2,305"
131210116.311,"1,290"
131210116.312,540
131210116.313,854
131210116.314,"1,496"
131210116.321,"2,015"
131210116.322,"1,635"
131210116.331,937
131210116.332,"1,157"
131210116.333,"1,886"
131210116.341,"1,307"
131210116.342,"1,397"
131210116.351,962
131210116.352,887
131210116.353,"2,381"
131210116.361,"2,129"
131210116.371,785
131210116.372,"1,843"
131210116.381,"1,347"
131210116.382,"1,064"
131210116.383,"1,267"
131210116.384,"1,259"
131210116.391,"1,262"
131210116.392,882
131210116.401,"2,162"
131210116.402,"3,136"
131210116.411,"1,876"
131210116.412,"1,104"
131210116.413,"1,313"
131210116.421,"1,053"
131210116.422,"1,095"
131210116.423,"1,429"
131210116.431,"1,813"
131210116.432,"1,417"
131210116.433,"1,547"
131210116.441,"1,228"
131210116.442,966
131210116.443,"1,619"
131210116.451,961
131210116.452,"1,111"
131210116.453,"2,173"
131210116.461,"1,009"
131210116.462,"2,334"
131210116.471,"1,767"
131210116.472,704
131210116.473,"1,537"
131210116.474,"1,467"
131210116.481,"1,013"
131210116.482,"1,997"
131210116.491,"1,268"
131210116.492,"1,897"
131210116.493,"2,804"
131210116.501,"1,195"
131210116.502,"1,863"
131210116.503,"1,063"
131210116.511,558
131210116.512,"1,677"
131210116.521,"2,140"
131210116.522,"1,480"
131210116.531,949
131210116.532,"1,594"
131210116.533,"1,020"
131210116.541,"2,159"
131210116.542,563
131210116.551,"1,844"
131210116.552,"1,180"
131210116.561,"2,470"
131210116.562,"1,813"
131210116.571,"1,247"
131210116.572,"1,833"
131210116.581,"1,926"
131210116.582,"2,047"
131210116.591,755
131210116.592,"2,286"
131210116.601,"2,092"
131210116.602,"2,332"
131210116.611,864
131210116.612,"1,336"
131350501.051,"1,299"
131350501.052,"2,797"
131350501.053,"1,791"
131350501.101,"3,340"
131350501.102,"2,305"
131350501.111,"1,450"
131350501.112,"1,205"
131350501.121,"2,014"
131350501.122,"3,203"
131350501.131,"2,171"
131350501.132,"2,072"
131350501.133,"2,143"
131350501.141,974
131350501.142,"2,333"
131350501.151,"1,856"
131350501.152,987
131350501.153,"1,445"
131350501.161,"1,992"
131350501.162,"2,327"
131350501.163,"1,227"
131350501.164,"1,544"
131350501.171,"2,115"
131350501.172,"1,939"
131350501.181,"2,338"
131350501.182,"1,338"
131350501.191,"2,634"
131350501.192,"1,579"
131350501.193,"1,332"
131350501.201,"1,247"
131350501.202,"1,120"
131350501.211,"1,353"
131350501.212,"1,451"
131350501.213,"1,747"
131350501.214,"1,823"
131350502.051,"1,981"
131350502.052,"1,626"
131350502.053,"1,039"
131350502.231,"1,315"
131350502.232,"2,045"
131350502.233,"2,824"
131350502.241,"1,402"
131350502.242,"3,313"
131350502.251,"1,903"
131350502.252,"1,400"
131350502.253,989
131350502.261,"1,401"
131350502.262,"2,357"
131350502.311,"1,548"
131350502.312,"3,772"
131350502.321,827
131350502.322,"1,948"
131350502.331,"3,389"
131350502.341,"2,143"
131350502.342,"1,687"
131350502.351,"3,630"
131350502.352,872
131350502.353,"1,473"
131350502.382,"2,073"
131350502.391,"1,393"
131350502.392,"2,258"
131350502.393,"1,630"
131350502.401,"2,158"
131350502.402,"1,865"
131350502.411,"1,445"
131350502.412,"1,211"
131350502.413,"2,103"
131350502.421,"2,737"
131350502.422,"2,099"
131350502.431,"2,041"
131350502.432,941
131350502.433,"3,644"
131350502.441,"1,134"
131350502.442,"1,815"
131350505.281,"3,008"
131350505.282,"2,362"
131350505.291,"1,215"
131350505.292,"2,120"
131350505.293,"1,824"
131350505.493,"1,462"
131350505.651,"1,976"
131350505.652,"1,610"
131350505.653,927
131350505.662,"2,800"
131350505.722,"1,916"
131350505.732,"2,008"
131350505.781,"2,515"
131350505.782,"1,754"
131350505.791,"1,553"
131350505.792,"1,830"
131350505.793,"1,370"
131350505.831,"1,484"
131350505.841,"1,097"
131350505.842,"1,305"
131350505.843,622
131350505.844,"1,318"
131350506.111,"1,765"
131350506.112,"1,419"
131350506.113,"1,339"
131350506.121,"3,368"
131350506.122,"2,037"
131350506.131,"1,157"
131350506.132,"1,544"
131350506.133,"1,348"
131350506.141,"2,194"
131350506.142,"1,472"
131350506.151,"1,713"
131350506.152,575
131350506.161,"2,244"
131350506.162,"1,745"
131350506.171,"2,028"
131350506.172,"1,803"
131350506.173,"1,046"
131350506.174,"3,117"
131350506.175,"1,942"
131350506.181,"2,028"
131350506.182,"1,060"
131350506.183,"1,515"
131350506.191,"2,475"
131350506.192,"1,833"
131350506.193,"2,714"
131350506.201,"1,430"
131350506.202,"2,463"
131350506.211,"2,350"
131350506.212,"1,875"
131350506.273,"1,367"
131350506.281,"1,384"
131350506.282,"3,696"
131350506.283,"1,545"
131350506.291,"2,303"
131350506.301,"2,832"
131350506.302,"1,953"
131350506.311,"1,590"
131350506.312,"1,559"
131350506.313,"3,227"
131350506.314,"1,666"
131350506.321,"1,548"
131350506.322,"1,884"
131350506.331,908
131350506.332,"2,350"
131350506.341,"1,676"
131350506.342,"1,732"
131350506.343,"3,825"
131350506.351,"2,131"
131350506.352,"1,894"
131350506.361,"3,599"
131350506.362,905
131390016.051,"2,006"
131390016.052,"1,825"
131390016.053,"1,586"
131390016.071,"2,360"
131390016.072,"2,807"
131390016.073,"1,561"
131390016.091,"1,252"
131390016.092,"2,188"
131390016.093,"1,856"
131390016.111,"1,942"
131390016.112,"3,974"
131390016.121,"2,025"
131390016.122,962
131570101.051,"1,623"
131570101.052,"2,286"
131570101.061,"2,751"
131570101.062,"1,899"
131570101.071,"1,857"
131570101.072,"1,360"
131570101.073,"2,864"
131570101.081,"1,972"
131570101.091,"2,177"
131570101.092,"2,690"
131570106.011,"1,554"
131570106.012,"2,237"
131570106.013,"1,324"
131570106.022,"1,791"
131570106.023,"2,073"
131570107.011,"1,617"
131570107.031,"2,319"
131570107.032,"1,650"
131570107.051,"1,142"
131570107.052,"2,285"
131570107.053,"1,362"
131570107.061,"1,009"
131570107.062,955
131570107.063,"2,004"
