Block Group,2022 Total Population
130119701.001,"1,165"
130119701.002,919
130119701.003,"1,590"
130119701.004,992
130119702.001,985
130119702.003,"1,495"
130119702.004,"1,391"
130119703.001,"2,168"
130119703.002,"1,521"
130119703.003,916
130570901.011,"1,097"
130570901.012,"1,779"
130570901.013,"1,445"
130570901.022,"1,179"
130570901.023,"1,386"
130570901.031,"2,245"
130570904.021,"2,002"
130570905.031,"1,225"
130570905.032,"1,944"
130570905.033,"1,704"
130570905.041,"2,643"
130570905.042,"2,814"
130570905.051,"1,991"
130570905.052,"2,232"
130570905.053,"1,708"
130570905.061,"2,099"
130570905.062,"2,538"
130570905.071,"1,239"
130570905.072,933
130570906.031,"2,145"
130570906.033,"1,776"
130570906.042,"1,910"
130570908.091,"1,812"
130570908.101,"2,159"
130570908.102,"2,593"
130859701.011,695
130859701.012,"1,011"
130859701.021,"2,325"
130859701.022,"2,931"
130859701.031,902
130859701.032,"1,967"
130859702.031,"2,104"
130859702.032,"2,464"
130859702.041,"2,800"
130859702.042,"1,446"
130859702.051,833
130859702.052,"3,590"
130859702.061,"1,919"
130859702.062,"1,428"
130859702.063,"1,790"
131171301.011,"2,426"
131171301.012,"2,282"
131171301.021,"1,672"
131171301.022,"1,309"
131171301.031,"1,701"
131171301.032,"1,525"
131171301.033,"1,863"
131171301.041,"1,744"
131171301.042,"1,493"
131171301.043,"1,374"
131171301.051,"2,725"
131171302.011,"2,044"
131171302.012,"1,680"
131171302.013,"1,928"
131171302.021,"1,429"
131171302.022,"2,868"
131171302.023,"1,972"
131171302.031,"3,458"
131171302.032,"1,776"
131171302.033,"1,329"
131171302.041,"4,699"
131171302.042,"1,884"
131171302.043,923
131171302.051,"2,658"
131171302.052,"2,686"
131171302.053,"1,440"
131171303.011,"3,033"
131171303.012,"1,683"
131171303.013,"2,673"
131171303.021,"2,806"
131171303.022,"3,723"
131171303.023,"3,258"
131171303.031,"3,000"
131171303.032,"1,790"
131171303.041,"2,673"
131171303.042,"4,926"
131171303.051,"1,747"
131171303.052,"2,959"
131171303.053,"2,561"
131171303.061,"2,585"
131171303.062,"2,946"
131171303.071,"5,308"
131171303.072,"2,830"
131171304.061,"2,073"
131171304.062,"2,566"
131171304.063,"3,499"
131171304.091,897
131171304.092,"2,517"
131171304.101,"3,479"
131171304.102,"2,280"
131171304.103,"3,419"
131171304.111,"1,690"
131171304.112,"1,589"
131171304.121,"1,410"
131171304.122,"2,337"
131171304.131,"1,267"
131171304.132,"2,063"
131171304.141,"3,563"
131171304.142,"1,715"
131171304.151,"2,563"
131171304.152,"2,013"
131171305.031,"1,624"
131171305.032,"1,359"
131171305.041,"2,025"
131171305.042,"1,998"
131171305.051,"1,329"
131171305.052,"1,578"
131171305.061,"1,605"
131171305.062,"2,271"
131171305.071,"1,719"
131171305.072,"1,866"
131171305.082,"3,141"
131171305.091,"2,430"
131171305.092,"1,582"
131171305.121,"5,147"
131210115.071,"1,934"
131210115.072,"1,977"
131210115.082,"3,033"
131210115.142,"2,061"
131370004.001,"1,214"
131370004.002,"1,143"
131370005.011,"1,412"
131370005.012,"1,012"
131370006.011,"1,840"
131370006.012,878
131370006.013,"1,065"
131370006.014,"2,299"
131370006.031,"1,510"
131370006.032,"1,640"
131370006.041,"1,030"
131370006.042,"1,790"
131370006.043,"1,586"
131370006.044,"1,024"
131390001.011,"2,655"
131390001.012,"2,624"
131390001.021,"2,294"
131390001.022,"1,666"
131390002.031,"2,356"
131390002.032,"2,332"
131390002.041,"2,135"
131390002.042,"2,196"
131390002.051,"2,770"
131390002.061,"2,009"
131390002.062,"1,718"
131390003.031,"1,692"
131390003.032,898
131390003.041,"2,135"
131390003.042,"2,104"
131390003.051,"1,167"
131390003.052,"2,272"
131390003.053,798
131390003.061,"1,117"
131390003.062,"1,362"
131390003.071,"1,931"
131390003.072,"2,259"
131390004.011,"1,451"
131390004.012,"2,182"
131390004.021,"1,682"
131390004.022,"1,424"
131390005.011,949
131390005.012,"1,743"
131390005.013,995
131390005.021,918
131390005.022,"2,554"
131390006.011,573
131390006.012,"1,267"
131390006.013,"1,371"
131390006.021,"1,241"
131390006.022,"3,131"
131390007.021,"3,014"
131390007.022,"2,204"
131390007.031,"1,535"
131390007.032,"1,893"
131390007.041,"2,272"
131390007.042,"1,218"
131390008.001,750
131390008.002,"1,110"
131390008.003,"1,401"
131390009.011,"1,554"
131390009.012,"1,517"
131390009.021,"1,550"
131390009.022,"1,235"
131390010.041,"1,278"
131390010.042,"1,841"
131390010.051,"2,263"
131390010.052,"2,036"
131390010.061,"1,884"
131390010.062,"1,198"
131390010.071,"2,138"
