Block Group,2022 Baby Boomer Pop
131879602.041,309
131879602.042,143
131879602.051,578
131879602.052,207
131879602.053,271
131879602.061,132
131879602.062,432
131879602.063,275
131879602.064,240
131950201.001,329
131950201.002,510
131950201.003,253
131950201.004,287
132270501.011,"1,371"
132270501.021,289
132270501.022,266
132270501.023,443
132270501.024,767
132270502.012,247
132270502.013,414
132270502.021,385
132270502.022,233
132270502.023,256
132270503.001,148
132270505.001,308
132270506.011,212
132270506.012,429
132270506.013,344
132270506.021,131
132270506.022,399
132579701.011,201
132579703.011,222
132579703.012,273
132579703.014,218
132579703.022,415
132579704.011,398
132579704.012,453
133119502.063,377
133119502.071,409
133119502.072,221
133119502.073,321
133119503.011,293
133119503.012,534
133119503.021,184
133119503.022,291
