Block Group,2027 Total Population
131210115.152,"1,262"
131210116.121,889
131210116.122,"1,155"
131210116.123,"1,557"
131210116.181,"2,297"
131210116.182,800
131210116.183,"1,227"
131210116.241,"2,085"
131210116.242,"1,799"
131210116.271,"2,047"
131210116.272,461
131210116.273,"1,785"
131210116.281,"1,558"
131210116.282,"1,247"
131210116.291,"1,460"
131210116.292,"1,803"
131210116.293,"1,651"
131210116.301,"1,882"
131210116.302,"2,254"
131210116.311,"1,266"
131210116.312,526
131210116.313,941
131210116.314,"1,492"
131210116.321,"1,971"
131210116.322,"1,644"
131210116.331,919
131210116.332,"1,125"
131210116.333,"1,838"
131210116.341,"1,276"
131210116.342,"1,363"
131210116.351,956
131210116.352,870
131210116.353,"2,485"
131210116.361,"2,088"
131210116.371,768
131210116.372,"1,992"
131210116.381,"1,319"
131210116.382,"1,041"
131210116.383,"1,239"
131210116.384,"1,230"
131210116.391,"1,421"
131210116.392,867
131210116.401,"2,179"
131210116.402,"3,296"
131210116.411,"1,854"
131210116.412,"1,101"
131210116.413,"1,284"
131210116.421,"1,039"
131210116.422,"1,092"
131210116.423,"1,419"
131210116.431,"1,770"
131210116.432,"1,561"
131210116.433,"1,519"
131210116.441,"1,346"
131210116.442,"1,020"
131210116.443,"1,598"
131210116.451,980
131210116.452,"1,085"
131210116.453,"2,167"
131210116.461,"1,064"
131210116.462,"2,335"
131210116.471,"1,828"
131210116.472,690
131210116.473,"1,674"
131210116.474,"1,572"
131210116.481,"1,069"
131210116.482,"2,037"
131210116.491,"1,235"
131210116.492,"2,194"
131210116.493,"3,012"
131210116.501,"1,174"
131210116.502,"1,836"
131210116.503,"1,102"
131210116.511,549
131210116.512,"1,650"
131210116.521,"2,292"
131210116.522,"1,456"
131210116.531,934
131210116.532,"1,548"
131210116.533,997
131210116.541,"2,115"
131210116.542,563
131210116.551,"1,815"
131210116.552,"1,209"
131210116.561,"2,425"
131210116.562,"1,922"
131210116.571,"1,219"
131210116.572,"1,833"
131210116.581,"1,882"
131210116.582,"2,137"
131210116.591,767
131210116.592,"2,360"
131210116.601,"2,096"
131210116.602,"2,282"
131210116.611,837
131210116.612,"1,369"
131350501.051,"1,435"
131350501.052,"3,010"
131350501.053,"1,915"
131350501.101,"3,481"
131350501.102,"2,457"
131350501.111,"1,450"
131350501.112,"1,356"
131350501.121,"2,141"
131350501.122,"3,924"
131350501.131,"2,225"
131350501.132,"2,145"
131350501.133,"2,307"
131350501.141,977
131350501.142,"2,541"
131350501.151,"1,996"
131350501.152,988
131350501.153,"1,544"
131350501.161,"2,048"
131350501.162,"2,337"
131350501.163,"1,357"
131350501.164,"1,554"
131350501.171,"2,286"
131350501.172,"1,939"
131350501.181,"2,425"
131350501.182,"1,453"
131350501.191,"2,771"
131350501.192,"1,600"
131350501.193,"1,348"
131350501.201,"1,258"
131350501.202,"1,127"
131350501.211,"1,360"
131350501.212,"1,457"
131350501.213,"1,772"
131350501.214,"1,905"
131350502.051,"1,989"
131350502.052,"1,956"
131350502.053,"1,042"
131350502.231,"1,384"
131350502.232,"2,073"
131350502.233,"2,854"
131350502.241,"1,505"
131350502.242,"3,453"
131350502.251,"2,182"
131350502.252,"1,415"
131350502.253,998
131350502.261,"1,426"
131350502.262,"2,365"
131350502.311,"1,750"
131350502.312,"3,814"
131350502.321,833
131350502.322,"2,142"
131350502.331,"3,406"
131350502.341,"2,281"
131350502.342,"1,692"
131350502.351,"3,641"
131350502.352,865
131350502.353,"1,540"
131350502.382,"2,122"
131350502.391,"1,398"
