Block Group,2027 Population Age 5-9
130119701.001,72
130119701.002,46
130119701.003,81
130119701.004,59
130119702.001,56
130119702.002,73
130119702.003,96
130119702.004,76
130119703.001,108
130119703.002,98
130119703.003,48
130119704.001,126
130119704.002,94
130570901.011,69
130570901.013,98
130570905.031,74
130570905.032,119
130570905.033,84
130570905.041,190
130570905.042,211
130570905.061,192
130570905.071,66
130570905.072,52
130859701.011,6
130859701.012,10
130859701.021,164
130859701.022,196
130859701.031,42
130859701.032,99
130859702.031,104
130859702.032,134
130859702.041,172
130859702.042,92
130859702.051,47
130859702.052,304
130859702.061,130
130859702.062,61
130859702.063,109
131171301.011,163
131171301.012,173
131171301.021,106
131171301.022,83
131171301.031,125
131171301.032,129
131171301.033,163
131171301.041,124
131171301.042,105
131171301.043,85
131171301.051,200
131171302.011,232
131171302.012,255
131171302.013,202
131171302.021,88
131171302.022,177
131171302.023,260
131171302.031,273
131171302.032,114
131171302.033,88
131171302.041,401
131171302.042,177
131171302.043,87
131171302.051,262
131171302.052,150
131171302.053,94
131171303.011,248
131171303.012,116
131171303.013,179
131171303.021,192
131171303.022,389
131171303.023,203
131171303.031,220
131171303.032,105
131171303.041,159
131171303.042,297
131171303.051,121
131171303.052,401
131171303.053,260
131171303.061,198
131171303.062,213
131171303.071,405
131171303.072,289
131171304.061,194
131171304.062,233
131171304.063,390
131171304.091,61
131171304.092,182
131171304.101,276
131171304.102,134
131171304.103,452
131171304.111,166
131171304.112,118
131171304.121,103
131171304.122,177
131171304.131,89
131171304.132,172
131171304.141,411
131171304.142,227
131171304.151,212
131171304.152,184
131171305.031,108
131171305.032,71
131171305.041,137
131171305.042,109
131171305.051,65
131171305.052,100
131171305.061,72
131171305.062,179
131171305.071,88
131171305.072,103
131171305.081,208
131171305.082,297
131171305.091,156
131171305.092,115
131171305.111,381
131171305.121,396
131171306.011,365
131171306.012,97
131171306.013,185
131210115.071,105
131210115.072,108
131210115.073,57
131210115.082,168
131210115.141,74
131210115.142,99
131350501.102,166
131350501.202,95
131370004.002,58
131370004.003,80
131370006.011,114
131370006.012,52
131370006.013,64
131370006.014,38
131370006.031,89
131370006.032,96
131370006.041,108
131370006.042,190
131370006.043,144
131370006.044,110
131390001.011,214
131390001.012,192
131390001.021,138
131390001.022,120
131390002.031,139
131390002.032,112
131390002.041,115
131390002.042,135
131390002.051,209
131390002.061,116
131390002.062,121
131390003.031,67
131390003.032,51
131390003.041,147
131390003.042,139
131390003.051,57
131390003.052,152
131390003.053,33
131390003.061,42
131390003.062,61
131390003.071,124
131390003.072,135
131390004.011,110
131390004.012,120
131390004.021,106
131390004.022,100
131390005.011,34
131390005.012,177
131390005.013,47
131390005.021,41
131390005.022,159
131390006.011,32
131390006.012,63
131390006.013,70
131390006.021,57
131390006.022,171
131390007.021,290
131390007.022,209
131390007.031,154
131390007.032,182
131390007.041,254
131390007.042,117
131390008.001,64
131390008.002,91
131390008.003,103
131390009.011,95
131390009.012,103
131390009.021,105
131390009.022,97
131390010.041,76
131390010.042,109
131390010.051,214
131390010.052,144
131390010.061,127
131390010.062,102
131390010.071,236
131390010.081,172
131390010.082,117
131390010.083,129
131390011.011,226
131390011.012,185
131390011.013,180
131390011.021,166
131390011.022,337
131390012.021,173
131390012.022,192
131390012.023,92
131390012.024,114
131390012.031,249
131390012.041,87
131390012.042,224
131390012.043,108
131390013.021,221
131390013.022,138
131390013.031,93
131390013.032,109
131390013.041,56
131390013.042,248
131390014.021,47
131390014.022,146
131390014.023,102
131390014.041,135
131390014.042,52
131390014.043,152
131390014.044,172
131390014.051,172
131390014.052,73
131390014.061,320
131390014.062,121
131390015.011,167
131390015.012,72
131390015.013,105
131390015.021,103
131390015.022,120
131390016.031,145
131390016.032,112
131390016.033,98
131390016.061,121
131390016.062,253
131390016.072,193
131390016.073,97
131390016.091,91
131390016.101,151
131390016.102,89
131570101.041,260
131570101.042,135
131570101.082,160
131570102.001,38
131570102.002,95
131570102.003,139
131570102.004,74
131570103.001,78
131570103.002,49
131570103.003,83
131570103.004,173
131570104.001,82
131570104.002,97
131570104.003,132
131570104.004,60
131570107.011,94
131570107.012,43
131570107.041,130
131570107.042,160
131879601.032,106
131879601.041,71
131879601.042,56
131879601.043,128
131879601.051,67
131879602.051,218
131879602.052,78
131879602.053,94
131879602.061,40
131879602.062,144
131879602.063,55
131879602.064,41
132270501.011,47
132270501.021,11
132270501.024,37
132270506.021,32
132270506.022,82
132579704.012,86
133119502.073,96
133119503.011,88
133119503.012,168
