Block Group,2022 Generation Z Pop
131879601.052,207
131879601.062,490
131879602.031,418
131879602.032,185
131879602.033,220
131879602.041,"2,373"
131879602.042,164
131879602.051,626
131879602.052,228
131879602.053,298
131879602.061,125
131879602.062,410
131879602.063,172
131879602.064,"1,757"
131950201.001,199
131950201.002,417
131950201.003,241
131950201.004,268
132270501.011,212
132270501.021,48
132270501.022,48
132270501.023,70
132270501.024,139
132270502.012,249
132270502.013,428
132270502.021,266
132270502.022,202
132270502.023,229
132270503.001,110
132270505.001,447
132270506.011,195
132270506.012,331
132270506.013,404
132270506.021,110
132270506.022,329
132579701.011,189
132579703.011,186
132579703.012,212
132579703.014,237
132579703.022,292
132579704.011,345
132579704.012,308
133119502.063,477
133119502.071,406
133119502.072,246
133119502.073,334
133119503.011,311
133119503.012,553
133119503.021,179
133119503.022,254
