Block Group,HH_below Poverty_Value,Percentage of 2020 Total Households (ACS 5-Yr)
131390007.041,54,12.27%
131390007.042,136,34.09%
131390008.001,118,29.72%
131390008.002,124,31.39%
131390008.003,225,51.72%
131390009.011,65,8.46%
131390009.012,10,1.84%
131390009.021,85,10.56%
131390009.022,80,14.31%
131390010.041,47,7.87%
131390010.042,141,22.63%
131390010.051,0,0.00%
131390010.052,12,1.77%
131390010.061,49,5.57%
131390010.062,95,23.69%
131390010.071,208,27.33%
131390010.081,198,47.03%
131390010.082,39,14.94%
131390010.083,127,22.16%
131390011.011,145,39.94%
131390011.012,178,31.12%
131390011.013,144,42.73%
131390011.021,102,23.23%
131390011.022,148,26.91%
131390012.021,7,4.27%
131390012.022,246,34.17%
131390012.023,174,49.43%
131390012.024,32,10.00%
131390012.031,90,16.85%
131390012.041,31,6.77%
131390012.042,117,23.26%
131390012.043,24,9.88%
131390013.021,105,11.96%
131390013.022,66,7.57%
131390013.031,115,26.38%
131390013.032,18,3.11%
131390013.041,0,0.00%
131390013.042,143,16.61%
131390014.021,23,9.16%
131390014.022,48,5.55%
131390014.023,71,10.53%
131390014.041,71,23.67%
131390014.042,69,37.70%
131390014.043,33,7.11%
131390014.044,71,9.39%
131390014.051,11,3.30%
131390014.052,47,12.43%
131390014.061,72,8.20%
131390014.062,40,11.02%
131390015.011,66,10.11%
131390015.012,35,7.17%
131390015.013,66,8.84%
131390015.021,19,2.52%
131390015.022,41,4.63%
131390016.031,35,6.04%
131390016.032,20,4.20%
131390016.033,13,2.50%
131390016.051,22,5.46%
131390016.052,37,5.85%
131390016.053,5,1.38%
131390016.061,32,6.13%
131390016.062,61,7.35%
131390016.071,242,28.88%
131390016.072,10,1.29%
131390016.073,22,5.79%
131390016.091,0,0.00%
131390016.092,0,0.00%
131390016.093,0,0.00%
131390016.101,0,0.00%
131390016.102,30,10.10%
131390016.111,42,5.68%
131390016.112,0,0.00%
131390016.121,7,1.03%
131390016.122,21,3.93%
131570101.041,62,9.81%
131570101.042,38,6.32%
