Block Group,Value,Percentage of 2022 Total Population
131350506.312,298,19.11%
131350506.313,418,12.95%
131350506.314,155,9.30%
131350506.321,189,12.21%
131350506.322,212,11.25%
131350506.341,194,11.58%
131350506.342,157,9.06%
131350506.351,309,14.50%
131350506.352,292,15.42%
131350506.361,391,10.86%
131350506.362,144,15.91%
131370006.013,174,16.34%
131390001.011,302,11.37%
131390001.012,246,9.38%
131390001.021,403,17.57%
131390001.022,234,14.05%
131390002.031,106,4.50%
131390002.041,102,4.78%
131390002.042,140,6.38%
131390002.051,771,27.83%
131390002.061,112,5.57%
131390002.062,66,3.84%
131390003.031,101,5.97%
131390003.032,45,5.01%
131390003.041,448,20.98%
131390003.042,157,7.46%
131390003.051,130,11.14%
131390003.052,340,14.96%
131390003.053,56,7.02%
131390003.061,79,7.07%
131390003.062,130,9.54%
131390003.071,398,20.61%
131390003.072,435,19.26%
131390004.011,512,35.29%
131390004.012,305,13.98%
131390004.021,199,11.83%
131390004.022,220,15.45%
131390005.011,51,5.37%
131390005.012,629,36.09%
131390005.013,104,10.45%
131390005.021,89,9.69%
131390005.022,214,8.38%
131390006.011,33,5.76%
131390006.012,389,30.70%
131390006.013,315,22.98%
131390006.021,273,22.00%
131390006.022,549,17.53%
131390007.021,"1,854",61.51%
131390007.022,"1,537",69.74%
131390007.031,778,50.68%
131390007.032,763,40.31%
131390007.041,"1,212",53.35%
131390007.042,718,58.95%
131390008.001,404,53.87%
131390008.002,528,47.57%
131390008.003,578,41.26%
131390009.011,204,13.13%
131390009.012,354,23.34%
131390009.021,503,32.45%
131390009.022,483,39.11%
131390010.041,206,16.12%
131390010.042,455,24.71%
131390010.051,"1,465",64.74%
131390010.052,573,28.14%
131390010.061,431,22.88%
131390010.062,424,35.39%
131390010.071,"1,163",54.40%
131390010.081,"1,546",84.11%
131390010.082,682,65.96%
131390010.083,805,58.67%
131390011.011,"1,002",69.92%
131390011.012,"1,617",90.44%
131390011.013,"1,527",84.50%
131390011.021,"1,187",76.04%
131390011.022,"2,728",85.60%
131390012.021,"1,304",72.53%
131390012.022,"1,291",55.17%
131390012.023,686,69.08%
131390012.024,880,72.07%
131390012.031,"1,385",64.60%
131390012.041,351,24.75%
131390012.042,"1,570",68.41%
131390012.043,838,47.64%
131390013.021,463,14.72%
131390013.022,417,16.79%
131390013.031,482,36.93%
131390013.032,229,13.85%
131390013.041,344,39.68%
131390013.042,"1,150",36.87%
131390014.021,194,18.20%
131390014.022,498,19.27%
131390014.023,565,29.14%
131390014.041,580,35.28%
131390014.042,354,46.95%
131390014.043,497,32.70%
131390014.044,847,38.76%
131390014.051,584,32.75%
131390014.052,258,26.38%
131390014.061,"1,453",40.68%
131390014.062,567,44.02%
131390015.011,425,16.95%
131390015.012,107,7.45%
131390015.013,151,7.50%
131390015.021,171,8.21%
131390015.022,216,9.10%
131390016.031,420,19.00%
131390016.032,258,15.09%
131390016.033,198,13.10%
131390016.051,277,13.81%
131390016.052,341,18.68%
131390016.053,135,8.51%
131390016.061,342,19.32%
131390016.062,541,15.05%
131390016.071,776,32.88%
131390016.072,217,7.73%
131390016.073,108,6.92%
131390016.091,129,10.30%
131390016.092,182,8.32%
131390016.093,161,8.67%
131390016.101,563,22.29%
131390016.102,179,19.27%
131390016.111,289,14.88%
131390016.112,302,7.60%
131390016.121,119,5.88%
131390016.122,15,1.56%
131570101.041,441,12.77%
131570101.042,474,25.90%
131570101.051,114,7.02%
131570101.052,110,4.81%
131570101.061,276,10.03%
131570101.062,182,9.58%
131570101.071,127,6.84%
131570101.072,97,7.13%
131570101.073,202,7.05%
131570101.081,276,14.00%
131570101.082,183,9.13%
131570101.091,335,15.39%
131570101.092,372,13.83%
131570102.001,52,8.04%
131570102.002,105,6.63%
131570102.003,102,5.88%
131570102.004,112,10.10%
131570103.001,81,5.16%
131570103.004,389,15.86%
131570104.002,108,8.36%
131570104.003,64,3.42%
131570105.003,103,5.68%
131570105.004,59,5.60%
131570106.011,157,10.10%
131570106.012,188,8.40%
131570106.013,51,3.85%
131570107.011,42,2.60%
131570107.012,49,5.27%
131570107.031,126,5.43%
131570107.041,138,7.60%
131570107.042,160,7.64%
131570107.051,54,4.73%
131570107.052,167,7.31%
131570107.053,188,13.80%
131570107.061,40,3.96%
131570107.062,67,7.02%
131570107.063,142,7.09%
131879601.042,61,6.70%
131879602.061,34,5.50%
131879602.062,106,5.36%
132270501.011,60,2.43%
132270506.011,30,3.31%
132270506.012,82,4.90%
132270506.013,44,2.54%
132270506.021,13,2.39%
132270506.022,54,3.29%
130119701.002,156,16.97%
130119704.001,71,3.43%
130859701.011,7,1.01%
130859701.012,15,1.48%
130859701.031,20,2.22%
131230801.003,53,2.58%
131370001.001,87,5.11%
131370002.011,94,4.72%
131370003.001,201,14.55%
131370004.001,181,14.91%
131370004.002,147,12.86%
131370004.003,254,22.54%
131370004.004,166,9.80%
131370005.011,411,29.11%
131370005.012,251,24.80%
131370005.021,203,10.74%
131370005.022,144,9.95%
131370005.023,225,10.46%
131370006.011,517,28.10%
131370006.012,86,9.79%
131370006.014,238,10.35%
131370006.031,109,7.22%
131370006.032,103,6.28%
131370006.041,328,31.84%
131370006.042,"1,122",62.68%
131370006.043,726,45.78%
131370006.044,685,66.89%
131390002.032,45,1.93%
131570103.003,132,12.54%
131879601.031,35,2.88%
131879601.032,102,5.27%
131879601.041,53,4.32%
131879601.043,229,10.21%
131879601.051,69,5.17%
131879601.052,18,1.44%
131879601.062,105,4.66%
131879602.031,65,3.02%
131879602.032,40,4.13%
131879602.033,52,4.48%
131879602.041,289,8.11%
131879602.042,89,10.15%
131879602.051,101,3.60%
131879602.052,42,4.13%
131879602.053,45,3.39%
131879602.063,38,3.61%
131879602.064,231,9.15%
132270501.024,44,3.03%
132579701.011,41,4.16%
132579704.012,43,2.49%
133119502.063,76,3.79%
133119502.071,90,4.91%
133119502.072,67,6.15%
133119502.073,65,4.15%
133119503.011,17,1.23%
133119503.012,87,3.47%
133119503.021,28,3.19%
133119503.022,44,3.60%
133119503.023,49,2.94%
