Block Group,Value,Percentage of 2022 Educational Attainment Base
131210116.442,237,35.48%
131210116.443,392,35.16%
131210116.451,176,27.04%
131210116.452,202,26.83%
131210116.453,396,26.87%
131210116.461,337,48.01%
131210116.462,789,48.08%
131210116.471,415,32.88%
131210116.472,127,28.60%
131210116.473,284,28.60%
131210116.474,264,28.60%
131210116.481,209,32.06%
131210116.482,412,32.14%
131210116.491,337,38.69%
131210116.492,503,38.75%
131210116.493,588,32.11%
131210116.501,312,39.49%
131210116.502,520,41.70%
131210116.503,297,41.71%
131210116.511,146,39.46%
131210116.512,437,39.44%
131210116.521,608,39.71%
131210116.522,480,48.58%
131210116.531,227,35.80%
131210116.532,516,48.59%
131210116.533,245,35.82%
131210116.541,596,41.02%
131210116.542,155,40.90%
131210116.551,558,45.18%
131210116.552,356,45.12%
131210116.561,824,49.97%
131210116.562,599,49.96%
131210116.571,344,45.44%
131210116.572,507,45.59%
131210116.581,462,33.82%
131210116.582,491,33.82%
131210116.591,191,36.31%
131210116.592,580,36.39%
131210116.601,492,34.97%
131210116.602,549,34.97%
131210116.611,277,47.03%
131210116.612,427,46.87%
131350501.051,20,2.23%
131350501.052,378,21.42%
131350501.053,76,6.64%
131350501.101,775,34.17%
131350501.102,534,34.01%
131350501.111,127,14.43%
131350501.112,113,14.36%
131350501.121,345,27.12%
131350501.122,548,27.12%
131350501.131,317,22.84%
131350501.132,298,22.80%
131350501.133,310,22.95%
131350501.141,138,23.31%
131350501.142,586,34.76%
131350501.151,453,34.27%
131350501.152,222,34.15%
131350501.153,221,23.21%
131350501.161,509,42.81%
131350501.162,613,42.69%
131350501.163,324,42.91%
131350501.164,394,42.78%
131350501.171,492,37.27%
131350501.172,401,31.23%
131350501.181,404,27.10%
131350501.182,235,27.17%
131350501.191,465,27.15%
131350501.192,139,13.51%
131350501.193,117,13.48%
131350501.201,228,29.46%
131350501.202,205,29.50%
131350501.211,246,29.29%
131350501.212,263,29.22%
131350501.213,324,29.40%
131350501.214,331,29.37%
131350502.231,371,40.68%
131350502.232,578,40.73%
131350502.233,799,40.77%
131350502.241,322,34.04%
131350502.242,774,33.96%
131350502.251,447,32.00%
131350502.252,326,31.93%
131350502.253,236,32.02%
131350502.261,211,21.53%
131350502.262,348,21.47%
131350502.391,357,37.30%
131350502.392,577,37.47%
131350502.393,367,37.03%
131350502.401,486,37.07%
131350502.402,421,37.06%
131350502.411,372,37.31%
131350502.412,309,37.32%
131350502.413,474,37.15%
131350502.421,679,35.64%
131350502.422,532,35.56%
131350502.431,619,46.61%
131350502.432,283,46.62%
131350502.433,"1,099",46.53%
131350502.441,388,51.80%
131350502.442,637,53.00%
131350505.281,640,28.96%
131350505.282,612,41.69%
131350505.651,561,40.80%
131350505.652,327,28.51%
131350505.792,355,28.70%
131350505.793,266,28.69%
131350505.842,249,28.56%
131350506.111,413,34.56%
131350506.112,333,34.65%
131350506.113,315,34.73%
131350506.121,555,24.03%
131350506.122,340,24.08%
131350506.131,200,27.17%
131350506.132,264,27.08%
131350506.133,231,27.14%
131350506.141,376,27.15%
131350506.142,251,27.02%
131350506.151,239,21.63%
131350506.152,100,26.95%
131350506.161,361,23.83%
131350506.162,282,23.86%
131350506.171,476,37.54%
131350506.172,423,37.57%
131350506.173,246,37.61%
131350506.174,727,37.61%
131350506.175,456,37.62%
131350506.181,270,22.09%
131350506.182,141,22.07%
131350506.183,202,22.08%
131350506.191,567,34.83%
131350506.192,420,34.88%
131350506.193,622,34.87%
131350506.201,373,44.51%
131350506.202,644,44.41%
131350506.211,679,44.35%
131350506.212,549,44.45%
131350506.291,371,25.48%
131350506.311,273,26.79%
131350506.312,262,26.68%
131350506.313,560,26.73%
131350506.314,287,26.72%
131350506.321,277,27.26%
131350506.322,338,27.37%
131350506.331,163,27.30%
131350506.332,410,27.35%
131350506.341,301,27.39%
131350506.342,309,27.27%
131350506.343,670,27.37%
131350506.351,379,26.14%
131350506.352,336,26.17%
131350506.361,440,17.09%
131350506.362,162,26.47%
131390001.011,181,10.14%
131390001.012,134,7.75%
131390001.021,166,10.22%
131390001.022,229,19.20%
131390002.042,312,20.05%
131390002.051,184,10.08%
131390003.031,529,40.35%
131390003.041,210,14.55%
131390003.042,296,19.93%
131390003.052,252,16.37%
131390003.061,200,22.55%
131390003.062,247,24.48%
131390003.071,199,14.11%
131390003.072,240,15.17%
131390004.011,217,22.03%
131390004.012,541,36.55%
131390004.021,347,28.56%
131390004.022,131,13.94%
131390005.011,160,20.97%
131390005.012,40,4.06%
131390005.013,205,26.73%
131390005.021,129,18.14%
131390005.022,480,26.42%
131390006.011,68,16.96%
131390006.012,157,16.95%
131390006.013,173,16.96%
131390006.021,82,8.68%
131390006.022,463,20.47%
131390007.021,167,10.06%
131390007.022,37,2.93%
131390007.031,59,6.81%
131390007.032,73,6.81%
131390007.041,111,8.59%
131390007.042,59,8.55%
131390008.001,0,0.00%
131390008.002,0,0.00%
131390008.003,14,2.29%
131390009.011,457,41.43%
131390009.012,273,26.74%
131390009.021,359,33.96%
131390009.022,61,8.28%
131390010.041,152,19.24%
131390010.042,219,19.23%
131390010.051,119,8.95%
131390010.052,186,13.59%
131390010.061,413,31.36%
131390010.062,105,13.64%
131390010.071,17,1.53%
131390010.081,61,6.01%
131390010.082,104,17.72%
131390010.083,46,6.06%
131390011.011,0,0.00%
131390011.012,23,2.58%
131390011.013,0,0.00%
131390011.021,65,7.81%
131390011.022,132,7.78%
131390012.021,23,2.25%
131390012.022,180,12.68%
131390012.023,12,2.14%
131390012.024,15,2.17%
131390012.031,43,3.87%
131390012.041,108,10.77%
131390012.042,64,5.17%
131390012.043,59,5.22%
131390013.021,348,16.11%
131390013.022,322,17.84%
131390013.031,86,9.44%
131390013.032,214,18.97%
131390013.041,112,18.95%
131390013.042,171,8.14%
131390014.021,328,39.42%
131390014.022,418,21.68%
131390014.023,146,10.31%
131390014.041,48,4.50%
131390014.042,65,12.33%
131390014.043,88,9.07%
131390014.044,127,9.11%
131390014.051,145,12.71%
131390014.052,83,12.79%
131390014.061,331,14.76%
131390014.062,117,14.74%
131390015.011,464,26.01%
131390015.012,212,19.33%
131390015.013,300,19.33%
131390015.021,403,25.06%
131390015.022,589,33.13%
131390016.031,283,18.40%
131390016.032,231,20.21%
131390016.033,205,20.30%
131390016.051,288,21.15%
131390016.052,301,25.17%
131390016.053,260,25.05%
131390016.061,207,17.28%
131390016.062,671,29.78%
131390016.071,212,12.93%
131390016.072,469,24.57%
131390016.073,227,20.69%
131390016.091,240,28.99%
131390016.092,409,29.13%
131390016.093,357,28.95%
131390016.101,353,20.18%
131390016.102,173,28.98%
131390016.111,428,31.70%
131390016.112,911,31.70%
131390016.121,453,31.57%
131390016.122,222,31.71%
131570101.041,401,16.78%
131570101.042,209,16.73%
131570101.051,211,18.99%
131570101.052,296,18.99%
131570101.061,331,16.58%
131570101.062,227,16.59%
131570101.071,243,20.17%
131570101.072,178,20.11%
131570101.073,379,20.17%
131570101.081,182,13.62%
131570101.082,185,13.58%
131570101.091,309,21.56%
131570101.092,380,21.62%
131570102.001,46,9.85%
131570102.002,112,9.76%
131570102.003,159,12.94%
131570102.004,102,12.96%
131570103.001,155,13.03%
131570103.002,52,9.98%
131570103.003,48,6.96%
131570103.004,116,6.93%
131570104.002,149,17.67%
131570104.003,192,15.00%
131570104.004,93,10.45%
131570105.003,257,19.83%
131570105.004,150,19.87%
131570106.011,247,24.00%
131570106.012,288,18.00%
131570106.013,211,24.11%
131570106.021,73,7.61%
131570106.022,344,27.24%
131570106.023,283,19.13%
131570107.011,144,12.04%
131570107.012,81,12.11%
131570107.031,267,17.33%
131570107.032,191,17.35%
131570107.041,312,26.15%
131570107.042,362,26.21%
131570107.051,168,23.93%
131570107.052,335,23.84%
131570107.053,202,23.96%
131570107.061,148,23.83%
131570107.062,58,8.85%
131570107.063,122,8.90%
132270506.013,299,25.40%
132270506.022,138,11.53%
130119701.001,71,8.74%
130119701.002,87,12.87%
130119701.003,149,12.77%
130859701.011,180,27.82%
130859701.012,262,27.78%
130859701.022,299,14.43%
130859701.031,76,11.28%
130859701.032,172,11.71%
131198902.011,143,13.39%
131198902.012,31,11.79%
131370002.011,153,10.79%
131370004.001,107,13.28%
131370004.002,128,15.22%
131370004.003,44,5.84%
131370004.004,66,5.84%
131370005.011,15,1.61%
131370005.012,10,1.52%
131370005.021,204,16.24%
131370005.022,110,10.77%
131370005.023,218,18.55%
131370006.011,121,9.50%
131370006.012,138,21.60%
131370006.013,31,4.26%
131370006.014,75,4.20%
131370006.031,135,12.14%
131370006.032,146,12.20%
131370006.041,25,4.35%
131370006.042,44,4.42%
131370006.043,85,8.99%
131370006.044,0,0.00%
131390002.031,188,11.10%
131390002.032,276,15.61%
131390002.041,373,24.54%
131390002.061,279,19.79%
131390002.062,147,12.50%
131390003.032,45,6.93%
131390003.051,77,8.91%
131390003.053,99,15.76%
131570104.001,76,9.25%
131879601.031,187,21.52%
131879601.032,297,21.51%
131879601.041,145,16.37%
131879601.042,108,16.36%
131879601.043,265,16.32%
131879601.051,103,10.05%
131879601.052,96,10.00%
131879601.062,312,19.77%
131879602.031,198,12.53%
131879602.032,146,20.45%
131879602.033,176,20.56%
131879602.041,153,15.33%
131879602.042,284,42.71%
131879602.051,210,10.95%
131879602.052,76,10.95%
131879602.053,99,10.96%
131879602.061,71,16.06%
131879602.062,228,16.15%
131879602.063,241,29.53%
131879602.064,196,29.74%
132270501.011,824,37.59%
132270506.021,46,11.65%
132579701.011,92,12.67%
132579704.012,172,13.26%
133119502.071,201,15.93%
133119502.072,87,11.68%
133119502.073,127,11.60%
133119503.011,143,15.07%
133119503.012,262,15.03%
133119503.021,84,13.21%
133119503.022,152,17.39%
