Block Group,2027 Population Age 10-14
130119701.001,86
130119701.002,51
130119701.003,88
130119701.004,69
130119702.001,64
130119702.002,82
130119702.003,108
130119702.004,88
130119703.001,127
130119703.002,108
130119703.003,54
130119704.001,140
130119704.002,105
130570901.011,78
130570901.013,104
130570905.031,88
130570905.032,140
130570905.033,95
130570905.041,206
130570905.042,228
130570905.061,218
130570905.071,84
130570905.072,66
130859701.011,8
130859701.012,12
130859701.021,169
130859701.022,200
130859701.031,46
130859701.032,111
130859702.031,123
130859702.032,150
130859702.041,195
130859702.042,91
130859702.051,51
130859702.052,328
130859702.061,142
130859702.062,71
130859702.063,120
131171301.011,206
131171301.012,183
131171301.021,116
131171301.022,89
131171301.031,130
131171301.032,135
131171301.033,177
131171301.041,138
131171301.042,101
131171301.043,95
131171301.051,199
131171302.011,166
131171302.012,275
131171302.013,217
131171302.021,101
131171302.022,186
131171302.023,218
131171302.031,325
131171302.032,127
131171302.033,97
131171302.041,374
131171302.042,170
131171302.043,82
131171302.051,255
131171302.052,177
131171302.053,103
131171303.011,279
131171303.012,125
131171303.013,195
131171303.021,246
131171303.022,369
131171303.023,252
131171303.031,236
131171303.032,125
131171303.041,196
131171303.042,369
131171303.051,127
131171303.052,322
131171303.053,240
131171303.061,225
131171303.062,193
131171303.071,412
131171303.072,312
131171304.061,193
131171304.062,231
131171304.063,385
131171304.091,36
131171304.092,193
131171304.101,294
131171304.102,123
131171304.103,306
131171304.111,168
131171304.112,132
131171304.121,115
131171304.122,205
131171304.131,64
131171304.132,190
131171304.141,416
131171304.142,153
131171304.151,222
131171304.152,200
131171305.031,124
131171305.032,86
131171305.041,141
131171305.042,125
131171305.051,78
131171305.052,121
131171305.061,87
131171305.062,172
131171305.071,105
131171305.072,114
131171305.081,239
131171305.082,298
131171305.091,177
131171305.092,119
131171305.111,322
131171305.121,423
131171306.011,370
131171306.012,103
131171306.013,178
131210115.071,124
131210115.072,126
131210115.073,64
131210115.082,202
131210115.141,83
131210115.142,112
131350501.102,178
131350501.202,97
131370004.002,68
131370004.003,88
131370006.011,127
131370006.012,54
131370006.013,72
131370006.014,43
131370006.031,96
131370006.032,113
131370006.041,106
131370006.042,185
131370006.043,138
131370006.044,112
131390001.011,231
131390001.012,206
131390001.021,154
131390001.022,127
131390002.031,163
131390002.032,131
131390002.041,132
131390002.042,159
131390002.051,209
131390002.061,131
131390002.062,139
131390003.031,64
131390003.032,57
131390003.041,148
131390003.042,163
131390003.051,65
131390003.052,161
131390003.053,39
131390003.061,52
131390003.062,84
131390003.071,128
131390003.072,140
131390004.011,119
131390004.012,118
131390004.021,110
131390004.022,105
131390005.011,44
131390005.012,180
131390005.013,55
131390005.021,45
131390005.022,180
131390006.011,29
131390006.012,59
131390006.013,65
131390006.021,63
131390006.022,181
131390007.021,287
131390007.022,200
131390007.031,151
131390007.032,174
131390007.041,246
131390007.042,114
131390008.001,57
131390008.002,82
131390008.003,91
131390009.011,94
131390009.012,111
131390009.021,116
131390009.022,88
131390010.041,59
131390010.042,86
131390010.051,210
131390010.052,154
131390010.061,142
131390010.062,111
131390010.071,182
131390010.081,142
131390010.082,76
131390010.083,106
131390011.011,192
131390011.012,145
131390011.013,155
131390011.021,163
131390011.022,336
131390012.021,169
131390012.022,185
131390012.023,94
131390012.024,115
131390012.031,233
131390012.041,98
131390012.042,219
131390012.043,106
131390013.021,254
131390013.022,161
131390013.031,90
131390013.032,129
131390013.041,68
131390013.042,248
131390014.021,53
131390014.022,164
131390014.023,116
131390014.041,136
131390014.042,54
131390014.043,157
131390014.044,181
131390014.051,155
131390014.052,66
131390014.061,328
131390014.062,124
131390015.011,176
131390015.012,83
131390015.013,120
131390015.021,122
131390015.022,146
131390016.031,156
131390016.032,120
131390016.033,104
131390016.061,132
131390016.062,199
131390016.072,212
131390016.073,116
131390016.091,98
131390016.101,159
131390016.102,68
131570101.041,282
131570101.042,146
131570101.082,168
131570102.001,40
131570102.002,103
131570102.003,149
131570102.004,80
131570103.001,79
131570103.002,53
131570103.003,85
131570103.004,174
131570104.001,90
131570104.002,101
131570104.003,145
131570104.004,61
131570107.011,101
131570107.012,49
131570107.041,133
131570107.042,161
131879601.032,123
131879601.041,79
131879601.042,63
131879601.043,143
131879601.051,72
131879602.051,244
131879602.052,87
131879602.053,106
131879602.061,47
131879602.062,158
131879602.063,58
131879602.064,41
132270501.011,56
132270501.021,13
132270501.024,40
132270506.021,36
132270506.022,97
132579704.012,103
133119502.073,106
133119503.011,95
133119503.012,183
