Block Group,2022 Population Age 5-9
130119701.001,80
130119701.002,48
130119701.003,83
130119701.004,67
130119702.001,58
130119702.002,75
130119702.003,102
130119702.004,82
130119703.001,114
130119703.002,81
130119703.003,49
130119704.001,133
130119704.002,100
130570901.011,68
130570901.013,94
130570905.031,73
130570905.032,116
130570905.033,74
130570905.041,191
130570905.042,204
130570905.061,147
130570905.071,71
130570905.072,53
130859701.011,8
130859701.012,11
130859701.021,148
130859701.022,178
130859701.031,43
130859701.032,96
130859702.031,100
130859702.032,133
130859702.041,175
130859702.042,91
130859702.051,48
130859702.052,211
130859702.061,122
130859702.062,67
130859702.063,114
131171301.011,171
131171301.012,145
131171301.021,106
131171301.022,80
131171301.031,116
131171301.032,116
131171301.033,139
131171301.041,122
131171301.042,101
131171301.043,78
131171301.051,188
131171302.011,218
131171302.012,152
131171302.013,149
131171302.021,88
131171302.022,167
131171302.023,248
131171302.031,256
131171302.032,110
131171302.033,82
131171302.041,399
131171302.042,168
131171302.043,83
131171302.051,239
131171302.052,145
131171302.053,86
131171303.011,245
131171303.012,110
131171303.013,180
131171303.021,205
131171303.022,362
131171303.023,211
131171303.031,221
131171303.032,97
131171303.041,163
131171303.042,312
131171303.051,108
131171303.052,382
131171303.053,239
131171303.061,193
131171303.062,212
131171303.071,359
131171303.072,264
131171304.061,174
131171304.062,224
131171304.063,333
131171304.091,61
131171304.092,170
131171304.101,258
131171304.102,118
131171304.103,425
131171304.111,151
131171304.112,111
131171304.121,100
131171304.122,188
131171304.131,87
131171304.132,165
131171304.141,387
131171304.142,212
131171304.151,204
131171304.152,163
131171305.031,101
131171305.032,73
131171305.041,127
131171305.042,102
131171305.051,63
131171305.052,96
131171305.061,66
131171305.062,156
131171305.071,85
131171305.072,87
131171305.081,195
131171305.082,287
131171305.091,134
131171305.092,86
131171305.111,332
131171305.121,362
131171306.011,339
131171306.012,95
131171306.013,169
131210115.071,109
131210115.072,110
131210115.073,56
131210115.082,166
131210115.141,75
131210115.142,96
131350501.102,158
131350501.202,95
131370004.002,64
131370004.003,84
131370006.011,122
131370006.012,49
131370006.013,73
131370006.014,44
131370006.031,86
131370006.032,97
131370006.041,103
131370006.042,180
131370006.043,143
131370006.044,117
131390001.011,192
131390001.012,199
131390001.021,143
131390001.022,104
131390002.031,138
131390002.032,115
131390002.041,114
131390002.042,141
131390002.051,204
131390002.061,120
131390002.062,117
131390003.031,61
131390003.032,52
131390003.041,137
131390003.042,130
131390003.051,57
131390003.052,153
131390003.053,36
131390003.061,46
131390003.062,63
131390003.071,115
131390003.072,132
131390004.011,109
131390004.012,124
131390004.021,101
131390004.022,102
131390005.011,34
131390005.012,183
131390005.013,50
131390005.021,41
131390005.022,162
131390006.011,33
131390006.012,65
131390006.013,66
131390006.021,58
131390006.022,160
131390007.021,281
131390007.022,202
131390007.031,146
131390007.032,178
131390007.041,215
131390007.042,117
131390008.001,59
131390008.002,86
131390008.003,100
131390009.011,89
131390009.012,106
131390009.021,109
131390009.022,99
131390010.041,78
131390010.042,112
131390010.051,211
131390010.052,148
131390010.061,130
131390010.062,101
131390010.071,242
131390010.081,178
131390010.082,115
131390010.083,133
131390011.011,162
131390011.012,178
131390011.013,173
131390011.021,171
131390011.022,353
131390012.021,165
131390012.022,183
131390012.023,93
131390012.024,113
131390012.031,236
131390012.041,90
131390012.042,225
131390012.043,109
131390013.021,216
131390013.022,145
131390013.031,78
131390013.032,117
131390013.041,62
131390013.042,235
131390014.021,47
131390014.022,136
131390014.023,105
131390014.041,136
131390014.042,48
131390014.043,107
131390014.044,154
131390014.051,135
131390014.052,71
131390014.061,277
131390014.062,112
131390015.011,159
131390015.012,69
131390015.013,98
131390015.021,107
131390015.022,109
131390016.031,148
131390016.032,118
131390016.033,104
131390016.061,117
131390016.062,222
131390016.072,189
131390016.073,99
131390016.091,92
131390016.101,157
131390016.102,93
131570101.041,230
131570101.042,129
131570101.082,142
131570102.001,37
131570102.002,91
131570102.003,106
131570102.004,68
131570103.001,71
131570103.002,50
131570103.003,81
131570103.004,172
131570104.001,81
131570104.002,98
131570104.003,132
131570104.004,60
131570107.011,88
131570107.012,46
131570107.041,129
131570107.042,149
131879601.032,118
131879601.041,76
131879601.042,56
131879601.043,138
131879601.051,70
131879602.051,215
131879602.052,79
131879602.053,104
131879602.061,42
131879602.062,130
131879602.063,49
131879602.064,43
132270501.011,54
132270501.021,11
132270501.024,40
132270506.021,30
132270506.022,90
132579704.012,93
133119502.073,102
133119503.011,93
133119503.012,164
