,index,zpid,address,zestimate,last30_zest,zestimate_30_DayDelta,lat,long,timestamp,geometry,index_right,NAME
486,486,14869921,743 Stonington Ct Gainesville GA 30506,645800,638600,1.1148962527098172,34.359371,-83.8684,2023-May-05,POINT (-83.8684 34.359371),0,Gainesville city
487,487,14870263,713 Stonington Ct Gainesville GA 30506,593700,580107,2.2895401718039414,34.360439,-83.866813,2023-May-05,POINT (-83.866813 34.360439),0,Gainesville city
490,490,14870256,741 Chattahoochee Pl Gainesville GA 30506,609700,592220,2.8669837625061505,34.360679,-83.866142,2023-May-05,POINT (-83.866142 34.360679),0,Gainesville city
492,492,14869939,638 Tommy Aaron Dr Gainesville GA 30506,587600,571100,2.8080326752893123,34.358261,-83.869346,2023-May-05,POINT (-83.869346 34.358261),0,Gainesville city
496,496,14850391,3200 Golf Club Dr Gainesville GA 30506,486300,469980,3.355953115360889,34.354381,-83.860641,2023-May-05,POINT (-83.860641 34.354381),0,Gainesville city
497,497,14850493,561 Tommy Aaron Dr Gainesville GA 30506,658600,633280,3.8445186759793497,34.357032,-83.869842,2023-May-05,POINT (-83.869842 34.357032),0,Gainesville city
500,500,14869937,642 Tommy Aaron Dr Gainesville GA 30506,552800,544533,1.4954775687409552,34.358734,-83.869369,2023-May-05,POINT (-83.869369 34.358734),0,Gainesville city
502,502,14869936,646 Tommy Aaron Dr Gainesville GA 30506,419700,416800,0.6909697402906838,34.359043,-83.869216,2023-May-05,POINT (-83.869216 34.359043),0,Gainesville city
504,504,14870255,731 Chattahoochee Pl Gainesville GA 30506,450700,441560,2.0279565120923007,34.360958,-83.866325,2023-May-05,POINT (-83.866325 34.360958),0,Gainesville city
505,505,14869920,738 Stonington Ct Gainesville GA 30506,465800,447560,3.9158437097466727,34.360198,-83.868041,2023-May-05,POINT (-83.868041 34.360198),0,Gainesville city
506,506,14850401,3223 Overlook Dr Gainesville GA 30506,506200,494220,2.3666534966416437,34.354972,-83.860038,2023-May-05,POINT (-83.860038 34.354972),0,Gainesville city
507,507,14869919,730 Stonington Ct Gainesville GA 30506,632500,625480,1.1098814229249012,34.360511,-83.867729,2023-May-05,POINT (-83.867729 34.360511),0,Gainesville city
512,512,14869934,654 Tommy Aaron Dr Gainesville GA 30506,501200,489767,2.2811252992817237,34.3596,-83.869041,2023-May-05,POINT (-83.869041 34.3596),0,Gainesville city
517,517,14850400,3203 Overlook Dr Gainesville GA 30506,1086900,1067753,1.7616156040114086,34.354526,-83.860023,2023-May-05,POINT (-83.860023 34.354526),0,Gainesville city
518,518,14870043,3312 Arbor Walk Dr Gainesville GA 30506,385400,385113,0.07446808510638298,34.356849,-83.859237,2023-May-05,POINT (-83.859237 34.356849),0,Gainesville city
520,520,14870042,3316 Arbor Walk Dr Gainesville GA 30506,462000,451820,2.2034632034632033,34.356369,-83.859214,2023-May-05,POINT (-83.859214 34.356369),0,Gainesville city
521,521,14869933,658 Tommy Aaron Dr Gainesville GA 30506,472700,467000,1.205838798392215,34.359878,-83.868934,2023-May-05,POINT (-83.868934 34.359878),0,Gainesville city
522,522,14869918,720 Stonington Ct Gainesville GA 30506,690100,673660,2.3822634400811475,34.360847,-83.867515,2023-May-05,POINT (-83.867515 34.360847),0,Gainesville city
523,523,14870254,721 Chattahoochee Pl Gainesville GA 30506,628200,621300,1.0983763132760267,34.361244,-83.866477,2023-May-05,POINT (-83.866477 34.361244),0,Gainesville city
524,524,14850386,3224 Overlook Dr Gainesville GA 30506,708900,697600,1.5940189025250389,34.355262,-83.859405,2023-May-05,POINT (-83.859405 34.355262),0,Gainesville city
525,525,14869932,662 Tommy Aaron Dr Gainesville GA 30506,490200,481180,1.8400652794777643,34.360149,-83.868812,2023-May-05,POINT (-83.868812 34.360149),0,Gainesville city
526,526,14850392,3160 Golf Club Dr Gainesville GA 30506,688800,675387,1.9472996515679444,34.353832,-83.860382,2023-May-05,POINT (-83.860382 34.353832),0,Gainesville city
529,529,14869917,712 Chattahoochee Pl Gainesville GA 30506,637000,619260,2.7849293563579276,34.361141,-83.867202,2023-May-05,POINT (-83.867202 34.361141),0,Gainesville city
533,533,14869931,664 Tommy Aaron Dr Gainesville GA 30506,623000,603720,3.0947030497592296,34.360416,-83.868675,2023-May-05,POINT (-83.868675 34.360416),0,Gainesville city
534,534,14850494,565 Tommy Aaron Dr Gainesville GA 30506,751500,727560,3.18562874251497,34.357368,-83.870552,2023-May-05,POINT (-83.870552 34.357368),0,Gainesville city
537,537,14870030,3325 Arbor Walk Dr Gainesville GA 30506,377000,370667,1.679840848806366,34.357559,-83.858856,2023-May-05,POINT (-83.858856 34.357559),0,Gainesville city
538,538,14870253,711 Chattahoochee Pl Gainesville GA 30506,440800,434440,1.442831215970962,34.361541,-83.8666,2023-May-05,POINT (-83.8666 34.361541),0,Gainesville city
539,539,14869930,670 Tommy Aaron Dr Gainesville GA 30506,556200,537600,3.344120819848975,34.360679,-83.868522,2023-May-05,POINT (-83.868522 34.360679),0,Gainesville city
541,541,14870041,3322 NE Arborwalk Dr Gainesville GA 30506,423400,416873,1.5415682569674067,34.356025,-83.85881,2023-May-05,POINT (-83.85881 34.356025),0,Gainesville city
543,543,14850399,3195 Overlook Dr Gainesville GA 30506,599400,581073,3.0575575575575575,34.354087,-83.859672,2023-May-05,POINT (-83.859672 34.354087),0,Gainesville city
545,545,14869929,674 Tommy Aaron Dr Gainesville GA 30506,516500,494880,4.185866408518877,34.360935,-83.868362,2023-May-05,POINT (-83.868362 34.360935),0,Gainesville city
546,546,14869938,649 Tommy Aaron Dr Gainesville GA 30506,940200,926740,1.4316102956817698,34.359195,-83.87017,2023-May-05,POINT (-83.87017 34.359195),0,Gainesville city
551,551,83354621,540 Rienzi Ct Gainesville GA 30506,845300,840693,0.5450136046374068,34.356433,-83.870941,2023-May-05,POINT (-83.870941 34.356433),0,Gainesville city
552,552,14869928,678 Tommy Aaron Dr Gainesville GA 30506,516200,507160,1.7512592018597444,34.361175,-83.868164,2023-May-05,POINT (-83.868164 34.361175),0,Gainesville city
554,554,83370347,595 Tommy Aaron Dr Gainesville GA 30506,916000,897700,1.9978165938864627,34.358139,-83.870834,2023-May-05,POINT (-83.870834 34.358139),0,Gainesville city
556,556,14850402,3210 Overlook Dr Gainesville GA 30506,546500,536260,1.8737419945105214,34.354644,-83.859001,2023-May-05,POINT (-83.859001 34.354644),0,Gainesville city
557,557,14870265,705 Chattahoochee Pl Gainesville GA 30506,456500,441600,3.2639649507119386,34.361843,-83.866699,2023-May-05,POINT (-83.866699 34.361843),0,Gainesville city
558,558,2085696364,682 Tommy Aaron Dr # NA Gainesville GA 30506,489500,473080,3.3544433094994894,34.361396,-83.867942,2023-May-05,POINT (-83.867942 34.361396),0,Gainesville city
562,562,14869926,686 Tommy Aaron Dr Gainesville GA 30506,606900,598900,1.3181743285549514,34.361598,-83.867698,2023-May-05,POINT (-83.867698 34.361598),0,Gainesville city
564,564,14870031,3335 Arbor Walk Dr Gainesville GA 30506,392900,385340,1.9241537286841435,34.35744,-83.858291,2023-May-05,POINT (-83.858291 34.35744),0,Gainesville city
570,570,14869925,702 Chattahoochee Pl Gainesville GA 30506,456200,449600,1.446733888645331,34.361827,-83.867431,2023-May-05,POINT (-83.867431 34.361827),0,Gainesville city
573,573,14850394,190 Club Dr Gainesville GA 30506,721100,705793,2.122729163777562,34.353023,-83.859954,2023-May-05,POINT (-83.859954 34.353023),0,Gainesville city
574,574,2121896014,3338 Arbor Walk Dr # 0 Gainesville GA 30506,384100,381600,0.6508721687060661,34.356948,-83.858062,2023-May-05,POINT (-83.858062 34.356948),0,Gainesville city
575,575,199174651,3338 NE Arborwalk Dr Gainesville GA 30506,503100,489727,2.658119658119658,34.356948,-83.858062,2023-May-05,POINT (-83.858062 34.356948),0,Gainesville city
576,576,14850397,3161 Overlook Dr Gainesville GA 30506,795400,792247,0.39640432486799093,34.353572,-83.859359,2023-May-05,POINT (-83.859359 34.353572),0,Gainesville city
580,580,14870027,3330 Arbor Walk Dr Gainesville GA 30506,365300,360400,1.341363263071448,34.356441,-83.857986,2023-May-05,POINT (-83.857986 34.356441),0,Gainesville city
584,584,14870032,3376 Arbor Walk Dr Gainesville GA 30506,403000,392553,2.5923076923076924,34.357517,-83.85794,2023-May-05,POINT (-83.85794 34.357517),0,Gainesville city
585,585,14850596,700 NW Lindsay Baker Ct Gainesville GA 30506,769100,759100,1.300221037576388,34.359287,-83.870925,2023-May-05,POINT (-83.870925 34.359287),0,Gainesville city
588,588,14850403,3192 Overlook Dr Gainesville GA 30506,421100,402540,4.407504155782474,34.354446,-83.858505,2023-May-05,POINT (-83.858505 34.354446),0,Gainesville city
590,590,14850429,231 Club Dr Gainesville GA 30506,696500,688180,1.1945441493180187,34.352077,-83.860748,2023-May-05,POINT (-83.860748 34.352077),0,Gainesville city
594,594,14850419,257 Club Dr Gainesville GA 30506,642300,629800,1.946131091390316,34.351806,-83.861198,2023-May-05,POINT (-83.861198 34.351806),0,Gainesville city
600,600,14850274,400 E Lake Dr Gainesville GA 30506,689600,676113,1.9557714617169375,34.345207,-83.864364,2023-May-05,POINT (-83.864364 34.345207),0,Gainesville city
601,601,14850275,390 E Lake Dr Gainesville GA 30506,723600,714400,1.271420674405749,34.344856,-83.864097,2023-May-05,POINT (-83.864097 34.344856),0,Gainesville city
602,602,14850273,418 E Lake Dr Gainesville GA 30506,789400,766000,2.964276665822143,34.345554,-83.864631,2023-May-05,POINT (-83.864631 34.345554),0,Gainesville city
603,603,14850276,372 E Lake Dr Gainesville GA 30506,1223300,1209100,1.1607945720591841,34.344497,-83.863784,2023-May-05,POINT (-83.863784 34.344497),0,Gainesville city
604,604,14850272,430 E Lake Dr Gainesville GA 30506,1048400,1028020,1.9439145364364745,34.345901,-83.864898,2023-May-05,POINT (-83.864898 34.345901),0,Gainesville city
605,605,14850277,2625 Club Dr Gainesville GA 30506,682100,673600,1.246151590675854,34.344268,-83.863273,2023-May-05,POINT (-83.863273 34.344268),0,Gainesville city
606,606,14850229,2682 Club Dr Gainesville GA 30506,2726100,2704800,0.7813359744690216,34.344913,-83.861854,2023-May-05,POINT (-83.861854 34.344913),0,Gainesville city
607,607,14850228,2710 Club Dr Gainesville GA 30506,2815500,2776293,1.3925412892914224,34.345405,-83.861602,2023-May-05,POINT (-83.861602 34.345405),0,Gainesville city
608,608,14850271,440 E Lake Dr Gainesville GA 30506,1569900,1551413,1.1775909293585578,34.346252,-83.865165,2023-May-05,POINT (-83.865165 34.346252),0,Gainesville city
609,609,14850230,2654 Club Dr Gainesville GA 30506,1409600,1389200,1.4472190692395006,34.344406,-83.862182,2023-May-05,POINT (-83.862182 34.344406),0,Gainesville city
610,610,14850264,421 E Lake Dr Gainesville GA 30506,1509100,1492973,1.0686501888542839,34.345344,-83.865493,2023-May-05,POINT (-83.865493 34.345344),0,Gainesville city
611,611,14850263,430 Peninsula Rd Gainesville GA 30506,993700,981800,1.197544530542417,34.344749,-83.865287,2023-May-05,POINT (-83.865287 34.344749),0,Gainesville city
612,612,14850258,399 Peninsula Rd Gainesville GA 30506,721500,706380,2.0956340956340953,34.344127,-83.864631,2023-May-05,POINT (-83.864631 34.344127),0,Gainesville city
613,613,14850231,2626 Club Dr Gainesville GA 30506,800800,766440,4.290709290709291,34.343921,-83.862564,2023-May-05,POINT (-83.862564 34.343921),0,Gainesville city
614,614,14850270,452 E Lake Dr Gainesville GA 30506,649900,642520,1.135559316817972,34.346599,-83.865425,2023-May-05,POINT (-83.865425 34.346599),0,Gainesville city
615,615,14850227,2800 Club Dr Gainesville GA 30506,1098500,1078367,1.8327719617660447,34.347328,-83.861999,2023-May-05,POINT (-83.861999 34.347328),0,Gainesville city
616,616,14850257,379 E Lake Dr Gainesville GA 30506,1630000,1598873,1.9096319018404906,34.343727,-83.864334,2023-May-05,POINT (-83.864334 34.343727),0,Gainesville city
617,617,14850250,295 Capri Dr Gainesville GA 30506,871000,846600,2.801377726750861,34.343826,-83.862083,2023-May-05,POINT (-83.862083 34.343826),0,Gainesville city
618,618,14850232,259 Capri Dr Gainesville GA 30506,2323100,2313533,0.41182041238000944,34.344261,-83.861396,2023-May-05,POINT (-83.861396 34.344261),0,Gainesville city
619,619,299115028,2799 Club Dr Gainesville GA 30506,1695800,1680093,0.9262295081967212,34.347816,-83.8628,2023-May-05,POINT (-83.8628 34.347816),0,Gainesville city
620,620,14850265,465 E Lake Dr Gainesville GA 30506,2720500,2687200,1.224039698584819,34.346027,-83.865989,2023-May-05,POINT (-83.865989 34.346027),0,Gainesville city
621,621,14850226,245 Normandy Cir Gainesville GA 30506,2559600,2529153,1.189521800281294,34.347099,-83.861282,2023-May-05,POINT (-83.861282 34.347099),0,Gainesville city
622,622,14850269,464 E Lake Dr Gainesville GA 30506,945900,946642,-0.0784438101279205,34.346946,-83.865692,2023-May-05,POINT (-83.865692 34.346946),0,Gainesville city
623,623,14850238,2590 Club Dr Gainesville GA 30506,1100900,1063300,3.415387410300663,34.343246,-83.862716,2023-May-05,POINT (-83.862716 34.343246),0,Gainesville city
624,624,14850262,492 Peninsula Rd Gainesville GA 30506,1928100,1926400,0.08816970074166278,34.344673,-83.866264,2023-May-05,POINT (-83.866264 34.344673),0,Gainesville city
626,626,14850233,243 Capri Dr Gainesville GA 30506,2199400,2189800,0.4364826770937529,34.344161,-83.860763,2023-May-05,POINT (-83.860763 34.344161),0,Gainesville city
627,627,14850268,478 E Lake Dr Gainesville GA 30506,781900,772880,1.153600204629748,34.347297,-83.865959,2023-May-05,POINT (-83.865959 34.347297),0,Gainesville city
628,628,83365152,326 Club Dr Gainesville GA 30506,1415500,1391720,1.6799717414341224,34.348262,-83.862388,2023-May-05,POINT (-83.862388 34.348262),0,Gainesville city
629,629,14850260,459 Peninsula Rd Gainesville GA 30506,1880000,1870293,0.5163297872340425,34.34391,-83.865859,2023-May-05,POINT (-83.865859 34.34391),0,Gainesville city
630,630,14850255,370 Lincoln Dr Gainesville GA 30506,1324200,1301400,1.7217942908926143,34.342979,-83.863746,2023-May-05,POINT (-83.863746 34.342979),0,Gainesville city
631,631,14850266,483 E Lake Dr Gainesville GA 30506,1576300,1558673,1.118251601852439,34.34671,-83.866439,2023-May-05,POINT (-83.866439 34.34671),0,Gainesville city
632,632,14850237,286 Capri Dr Gainesville GA 30506,1417500,1411827,0.4002116402116402,34.343177,-83.861999,2023-May-05,POINT (-83.861999 34.343177),0,Gainesville city
633,633,14850225,243 Normandy Cir Gainesville GA 30506,4298800,4267400,0.7304364008560529,34.347278,-83.860473,2023-May-05,POINT (-83.860473 34.347278),0,Gainesville city
634,634,14850254,388 Lincoln Dr Gainesville GA 30506,1289900,1278800,0.8605318241724164,34.342933,-83.864593,2023-May-05,POINT (-83.864593 34.342933),0,Gainesville city
635,635,14850261,480 Peninsula Rd Gainesville GA 30506,2048000,2065400,-0.8496093749999999,34.344112,-83.866371,2023-May-05,POINT (-83.866371 34.344112),0,Gainesville city
636,636,14850239,2556 Club Dr Gainesville GA 30506,1874000,1857120,0.9007470651013875,34.3428,-83.862564,2023-May-05,POINT (-83.862564 34.3428),0,Gainesville city
637,637,14850236,260 Capri Dr Gainesville GA 30506,1357800,1349673,0.598541758727353,34.343143,-83.861343,2023-May-05,POINT (-83.861343 34.343143),0,Gainesville city
638,638,14850223,235 Normandy Cir Gainesville GA 30506,2487000,2460587,1.062042621632489,34.34814,-83.861129,2023-May-05,POINT (-83.861129 34.34814),0,Gainesville city
639,639,14850267,494 E Lake Dr Gainesville GA 30506,604400,586967,2.884348113831899,34.347644,-83.866226,2023-May-05,POINT (-83.866226 34.347644),0,Gainesville city
640,640,14850224,241 Normandy Cir Gainesville GA 30506,2405300,2373827,1.3084854280131377,34.347778,-83.860519,2023-May-05,POINT (-83.860519 34.347778),0,Gainesville city
641,641,14850234,242 Capri Dr Gainesville GA 30506,3480700,3457000,0.6808975206136696,34.343681,-83.86029,2023-May-05,POINT (-83.86029 34.343681),0,Gainesville city
642,642,299115029,2885 Club Dr Gainesville GA 30506,1087100,1064853,2.0464538680894124,34.348712,-83.861854,2023-May-05,POINT (-83.861854 34.348712),0,Gainesville city
643,643,14850240,2536 Club Dr Gainesville GA 30506,2388600,2382000,0.27631248430042704,34.342487,-83.862167,2023-May-05,POINT (-83.862167 34.342487),0,Gainesville city
644,644,14850253,389 Lincoln Dr Gainesville GA 30506,1713300,1712000,0.07587696258682076,34.342514,-83.864875,2023-May-05,POINT (-83.864875 34.342514),0,Gainesville city
645,645,14850252,2541 Club Dr Gainesville GA 30506,2463500,2439500,0.9742236655165415,34.342273,-83.863533,2023-May-05,POINT (-83.863533 34.342273),0,Gainesville city
646,646,14850235,254 Capri Dr Gainesville GA 30506,2623900,2616020,0.3003163230306033,34.343173,-83.860511,2023-May-05,POINT (-83.860511 34.343173),0,Gainesville city
647,647,14850604,515 E Lake Dr Gainesville GA 30506,1585500,1583340,0.13623462630085148,34.347373,-83.86708,2023-May-05,POINT (-83.86708 34.347373),0,Gainesville city
648,648,14850603,512 E Lake Dr Gainesville GA 30506,862100,853900,0.9511657580327109,34.348056,-83.866539,2023-May-05,POINT (-83.866539 34.348056),0,Gainesville city
649,649,14850222,2886 Club Dr Gainesville GA 30506,1218200,1199807,1.5098505992447875,34.348613,-83.860939,2023-May-05,POINT (-83.860939 34.348613),0,Gainesville city
650,650,14850241,2516 Club Dr Gainesville GA 30506,1731100,1717847,0.7655825775518457,34.342174,-83.86174,2023-May-05,POINT (-83.86174 34.342174),0,Gainesville city
652,652,14850251,2519 Club Dr Gainesville GA 30506,2804400,2790560,0.4935101982598773,34.341857,-83.863174,2023-May-05,POINT (-83.863174 34.341857),0,Gainesville city
654,654,247006979,2500 Club Dr Gainesville GA 30506,1960600,1939967,1.0523819239008465,34.341758,-83.861602,2023-May-05,POINT (-83.861602 34.341758),0,Gainesville city
655,655,14850187,2445 Club Dr Gainesville GA 30506,2348700,2338900,0.41725209690467063,34.341442,-83.862678,2023-May-05,POINT (-83.862678 34.341442),0,Gainesville city
656,656,14850601,550 E Lake Dr Gainesville GA 30506,1226000,1201580,1.9918433931484503,34.348838,-83.867301,2023-May-05,POINT (-83.867301 34.348838),0,Gainesville city
657,657,14850182,255 Sorrento Cir Gainesville GA 30506,2842100,2835693,0.225431898947961,34.341602,-83.860992,2023-May-05,POINT (-83.860992 34.341602),0,Gainesville city
658,658,83348011,2441 Club Dr Gainesville GA 30506,2227900,2219500,0.3770366713048162,34.340988,-83.863037,2023-May-05,POINT (-83.863037 34.340988),0,Gainesville city
659,659,14850605,625 NW Lakes End Dr Gainesville GA 30506,1869200,1853600,0.8345816392039376,34.348159,-83.868324,2023-May-05,POINT (-83.868324 34.348159),0,Gainesville city
660,660,14850183,250 Sorrento Cir Gainesville GA 30506,1610700,1616900,-0.38492580865462217,34.341247,-83.860687,2023-May-05,POINT (-83.860687 34.341247),0,Gainesville city
661,661,14850185,2462 Club Dr Gainesville GA 30506,1651100,1663733,-0.7651262794500636,34.340888,-83.861854,2023-May-05,POINT (-83.861854 34.340888),0,Gainesville city
662,662,14850600,564 E Lake Dr Gainesville GA 30506,1357500,1348293,0.678232044198895,34.349231,-83.867767,2023-May-05,POINT (-83.867767 34.349231),0,Gainesville city
663,663,14850219,197 Overlook Dr Gainesville GA 30506,2438200,2415547,0.9290870314166187,34.349899,-83.859848,2023-May-05,POINT (-83.859848 34.349899),0,Gainesville city
664,664,14850184,254 Sorrento Cir Gainesville GA 30506,3406200,3419400,-0.3875286242733838,34.340957,-83.861053,2023-May-05,POINT (-83.861053 34.340957),0,Gainesville city
665,665,14850220,203 Overlook Dr Gainesville GA 30506,1121700,1099280,1.9987518944459302,34.350227,-83.860305,2023-May-05,POINT (-83.860305 34.350227),0,Gainesville city
666,666,14850218,165 Overlook Dr Gainesville GA 30506,1554300,1539600,0.9457633661455318,34.349826,-83.859344,2023-May-05,POINT (-83.859344 34.349826),0,Gainesville city
667,667,14850221,221 Overlook Dr Gainesville GA 30506,607500,604280,0.5300411522633744,34.350582,-83.860679,2023-May-05,POINT (-83.860679 34.350582),0,Gainesville city
668,668,14850416,245 Overlook Dr Gainesville GA 30506,570800,562880,1.3875262789067975,34.35083,-83.861091,2023-May-05,POINT (-83.861091 34.35083),0,Gainesville city
669,669,14850217,147 Overlook Dr Gainesville GA 30506,2750300,2665400,3.086935970621387,34.349929,-83.858856,2023-May-05,POINT (-83.858856 34.349929),0,Gainesville city
670,670,14850599,596 E Lake Dr Gainesville GA 30506,1188400,1179113,0.7814708852238305,34.349632,-83.86824,2023-May-05,POINT (-83.86824 34.349632),0,Gainesville city
671,671,14850189,2489 Club Dr Gainesville GA 30506,3447000,3434527,0.36185088482738614,34.340042,-83.862884,2023-May-05,POINT (-83.862884 34.340042),0,Gainesville city
672,672,14850608,607 E Lake Dr Gainesville GA 30506,740100,725800,1.932171328198892,34.349086,-83.868911,2023-May-05,POINT (-83.868911 34.349086),0,Gainesville city
673,673,14850192,2902 Pointe Dr Gainesville GA 30506,2520400,2492720,1.098238374861133,34.339965,-83.862167,2023-May-05,POINT (-83.862167 34.339965),0,Gainesville city
