,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
56,56,09079B000132,6341 WOODLAND STATION DR,Hall County,Georgia,3/4/2022,"$285,775.00 ",0.5,Residential,2021,2255,$126.73 ,07073 MAGNOLIA STATION,34.4084587,-83.6937812
57,57,10097 000150,3921 NW CAMDEN CT,Hall County,Georgia,3/3/2022,"$447,176.00 ",0.64,Residential,2021,2692,$166.11 ,01781 Windsor Forrest,34.3550406,-83.8807842
58,58,10128 000106,4805 PLANTATION OVLK,Hall County,Georgia,3/1/2022,"$495,000.00 ",1,Residential,2021,2752,$179.87 ,01008 RED OAK PLANTATION,34.376542,-83.8336216
59,59,10132 000030,5216 LAUREL LN,Hall County,Georgia,3/1/2022,"$422,500.00 ",0.61,Residential,2021,2544,$166.08 ,L47050 Lanier Atlanta,34.381305,-83.8257776
60,60,15047P000019,6406 CROSSCREEK LN,Hall County,Georgia,2/28/2022,"$430,000.00 ",0.12,Residential,2020,2470,$174.09 ,05037Q Sterling,34.1550499,-83.8970531
61,61,11134 000136,5452 FISHERMANS CV,Hall County,Georgia,2/28/2022,"$720,105.00 ",1.33,Residential,2021,2741,$262.72 ,L47041 - CHESTATEE COVE,34.4103671,-83.9552006
62,62,08024 006157,4466 SW SILVER OAK DR,Hall County,Georgia,2/28/2022,"$458,674.00 ",0.19,Residential,2021,3196,$143.52 ,08018B White Oak Park @ MM,34.2532393,-83.867164
63,63,15042 000481,7005 BRANCH CREEK CV,Hall County,Georgia,2/28/2022,"$506,840.00 ",0.25,Residential,2021,2854,$177.59 ,05662 Lancaster,34.1393581,-83.8904797
64,64,10079 001096,5585 CHECKERED SPOT DR,Hall County,Georgia,2/28/2022,"$425,000.00 ",1.06,Residential,2021,2254,$188.55 ,01064  CREEKSIDE @ M,34.3849493,-83.8954595
65,65,15029B000101,5426 WOODSTREAM CT,Hall County,Georgia,2/28/2022,"$458,802.00 ",0.84,Residential,2021,2468,$185.90 ,05034 GEORGIAN ACRES,34.1760213,-83.8036247
66,66,01104 002054,410 NE HUDSON COVE TRL,Hall County,Georgia,2/28/2022,"$400,078.00 ",0.23,Residential,2021,2938,$136.17 ,LG7012 Hudson Cove,34.3498405,-83.8479051
67,67,08151 002086,5392 SUMMER OAK LN,Hall County,Georgia,2/28/2022,"$611,355.00 ",0.27,Residential,2021,3828,$159.71 ,08032 Summerlyn,34.1525264,-83.9512313
68,68,12046 000041,4469 HIGHLAND GATE PKWY,Hall County,Georgia,2/25/2022,"$324,900.00 ",0.79,Residential,2021,2080,$156.20 ,03006 HIGHLAND GATES,34.4134257,-83.7905929
69,69,08075 002053A,5634 BARBERRY AVE,Hall County,Georgia,2/25/2022,"$328,990.00 ",0.17,Residential,2021,2361,$139.34 ,08075 Prescott,34.2206923,-83.9035122
70,70,15041 000371,5665 WILLOW SPRINGS PL,Hall County,Georgia,2/25/2022,"$586,819.00 ",0.2,Residential,2021,2612,$224.66 ,05013A DEL WEBB @ CHATEAU ELAN,34.1105432,-83.8515035
71,71,10086 000074,3466 CROWN DR,Hall County,Georgia,2/25/2022,"$415,000.00 ",1.46,Residential,2020,1312,$316.31 ,L47029 - CROWN POINT,34.3159057,-83.8949007
72,72,08065 000289,5135 WATCHMANS CV,Hall County,Georgia,2/25/2022,"$409,580.00 ",0.16,Residential,2021,1939,$211.23 ,08065 Stephens Point,34.2422247,-83.9104623
73,73,15029B000070,4993 LITTLE FOX TRL,Hall County,Georgia,2/25/2022,"$489,324.00 ",0.81,Residential,2021,3148,$155.44 ,05034 GEORGIAN ACRES,34.18112,-83.805313
74,74,08075 002052A,5630 BARBERRY AVE,Hall County,Georgia,2/25/2022,"$338,990.00 ",0.12,Residential,2021,2496,$135.81 ,08075 Prescott,34.2206923,-83.9035122
75,75,08024 006112,4652 SW SILVER OAK DR,Hall County,Georgia,2/25/2022,"$503,177.00 ",0.17,Residential,2021,3560,$141.34 ,08018B White Oak Park @ MM,34.2523121,-83.8691736
76,76,08075 002001A,5404 BARBERRY AVE,Hall County,Georgia,2/24/2022,"$327,990.00 ",0.14,Residential,2021,2616,$125.38 ,08075 Prescott,34.220068,-83.907701
77,77,08075 002092A,5413 BARBERRY AVE,Hall County,Georgia,2/24/2022,"$340,990.00 ",0.11,Residential,2021,2496,$136.61 ,08075 Prescott,34.2196677,-83.9074827
78,78,08024 006185,4425 SW CHESTNUT OAK WAY,Hall County,Georgia,2/24/2022,"$427,445.00 ",0.17,Residential,2021,3080,$138.78 ,08018B White Oak Park @ MM,34.2528513,-83.8682685
